signal_time,entry_time,dir,entry,stop,stop_pct,exit_time,exit_price,reason,pnl_points,pnl_usd,virtual_balance
2021.11.16 04:00,2021.11.16 08:00,BUY,80.21700,79.47496,0.925,2021.11.16 14:00,79.47496,SL hit,-0.74204,-7.42043,492.57957
2021.12.06 04:00,2021.12.06 08:00,BUY,67.70900,67.15715,0.815,2021.12.06 08:00,67.15715,SL hit,-0.55185,-5.51846,487.06111
2022.01.04 04:00,2022.01.04 08:00,BUY,75.82800,75.70568,0.161,2022.01.10 16:00,78.21000,opposite cross,2.38200,94.84886,581.90997
2022.01.11 10:00,2022.01.11 14:00,BUY,78.90000,78.27953,0.786,2022.01.21 00:00,83.86800,opposite cross,4.96800,49.68000,631.58997
2022.06.24 18:00,2022.06.26 22:00,BUY,105.22000,104.51595,0.669,2022.06.27 00:00,104.51595,SL hit,-0.70405,-7.04045,624.54952
2022.10.25 18:00,2022.10.25 22:00,BUY,84.58500,84.22299,0.428,2022.10.26 00:00,84.22299,SL hit,-0.36201,-6.24550,618.30402
2023.02.01 04:00,2023.02.01 08:00,BUY,79.42700,78.66391,0.961,2023.02.01 14:00,78.66391,SL hit,-0.76309,-7.63093,610.67310
2023.05.22 20:00,2023.05.23 00:00,BUY,72.26600,71.75575,0.706,2023.05.23 06:00,71.75575,SL hit,-0.51025,-6.10673,604.56636
2023.05.29 00:00,2023.05.29 04:00,BUY,73.26900,72.54054,0.994,2023.05.29 08:00,72.54054,SL hit,-0.72846,-7.28461,597.28175
2023.05.29 18:00,2023.05.30 02:00,BUY,73.18100,72.70636,0.649,2023.05.30 02:00,72.70636,SL hit,-0.47464,-5.97282,591.30893
2023.08.18 18:00,2023.08.20 22:00,BUY,80.45200,79.82782,0.776,2023.08.22 02:00,79.88900,opposite cross,-0.56300,-5.63000,585.67893
2023.09.26 20:00,2023.09.27 00:00,BUY,89.95900,89.20911,0.834,2023.09.29 00:00,90.77100,opposite cross,0.81200,8.12000,593.79893
2023.11.02 20:00,2023.11.03 00:00,BUY,82.31600,81.49371,0.999,2023.11.03 12:00,81.49371,SL hit,-0.82229,-8.22292,585.57601
2023.12.08 18:00,2023.12.10 22:00,BUY,71.27600,70.65225,0.875,2023.12.11 10:00,70.65225,SL hit,-0.62375,-6.23749,579.33852
2024.01.09 22:00,2024.01.10 02:00,BUY,72.52100,71.82793,0.956,2024.01.10 08:00,71.82793,SL hit,-0.69307,-6.93069,572.40783
2024.02.06 20:00,2024.02.07 00:00,BUY,73.43200,73.04151,0.532,2024.02.14 22:00,76.24500,opposite cross,2.81300,41.23502,613.64285
2024.02.22 00:00,2024.02.22 04:00,BUY,77.91700,77.32811,0.756,2024.02.22 12:00,77.32811,SL hit,-0.58889,-6.13643,607.50642
2024.02.27 00:00,2024.02.27 04:00,BUY,77.30600,76.77502,0.687,2024.03.04 22:00,78.36700,opposite cross,1.06100,12.13904,619.64546
2024.03.28 00:00,2024.03.28 04:00,BUY,81.42800,81.16173,0.327,2024.04.08 06:00,84.87300,opposite cross,3.44500,80.16922,699.81468
2024.04.11 00:00,2024.04.11 04:00,BUY,85.80500,85.13700,0.779,2024.04.11 10:00,85.13700,SL hit,-0.66800,-6.99815,692.81654
2024.04.16 02:00,2024.04.16 06:00,BUY,85.40700,84.86773,0.631,2024.04.16 06:00,84.86773,SL hit,-0.53927,-6.92817,685.88837
2024.05.13 22:00,2024.05.14 02:00,BUY,78.69000,78.36801,0.409,2024.05.14 08:00,78.36801,SL hit,-0.32199,-6.85888,679.02949
2024.05.16 02:00,2024.05.16 06:00,BUY,78.52900,78.00660,0.665,2024.05.16 08:00,78.00660,SL hit,-0.52240,-6.79029,672.23919
2024.05.24 22:00,2024.05.27 02:00,BUY,77.73000,77.10232,0.808,2024.05.30 06:00,78.80300,opposite cross,1.07300,11.49177,683.73096
2024.07.11 02:00,2024.07.11 06:00,BUY,81.92900,81.21105,0.876,2024.07.11 10:00,81.21105,SL hit,-0.71795,-7.17951,676.55145
2024.08.15 22:00,2024.08.16 02:00,BUY,76.77600,76.56672,0.273,2024.08.16 04:00,76.56672,SL hit,-0.20928,-6.76551,669.78593
2024.08.23 04:00,2024.08.23 08:00,BUY,73.13500,72.52758,0.831,2024.08.28 04:00,75.21500,opposite cross,2.08000,22.93563,692.72156
2024.10.21 18:00,2024.10.21 22:00,BUY,69.86300,69.50566,0.511,2024.10.22 06:00,69.50566,SL hit,-0.35734,-6.92722,685.79435
2024.12.09 18:00,2024.12.09 22:00,BUY,67.89600,67.74257,0.226,2024.12.10 04:00,67.74257,SL hit,-0.15343,-6.85794,678.93640
2024.12.23 04:00,2024.12.23 08:00,BUY,69.59900,69.22479,0.538,2024.12.23 10:00,69.22479,SL hit,-0.37421,-6.78936,672.14704
2024.12.24 08:00,2024.12.24 12:00,BUY,69.66000,69.24872,0.590,2024.12.26 18:00,69.24872,SL hit,-0.41128,-6.72147,665.42557
2025.01.09 22:00,2025.01.10 02:00,BUY,73.49200,73.16962,0.439,2025.01.17 16:00,77.06400,opposite cross,3.57200,73.72864,739.15421
2025.02.03 00:00,2025.02.03 04:00,BUY,73.28200,72.55622,0.990,2025.02.03 14:00,72.55622,SL hit,-0.72578,-7.39154,731.76267
2025.02.10 06:00,2025.02.10 10:00,BUY,71.48800,70.94454,0.760,2025.02.12 18:00,71.54300,opposite cross,0.05500,0.74057,732.50324
2025.02.18 02:00,2025.02.18 06:00,BUY,71.40500,70.92916,0.666,2025.02.18 12:00,70.92916,SL hit,-0.47584,-7.32503,725.17821
2025.03.12 02:00,2025.03.12 06:00,BUY,66.32900,66.19145,0.207,2025.03.12 06:00,66.19145,SL hit,-0.13755,-7.25178,717.92643
2025.03.20 04:00,2025.03.20 08:00,BUY,67.28000,66.93700,0.510,2025.03.20 10:00,66.93700,SL hit,-0.34300,-7.17926,710.74716
2025.04.25 22:00,2025.04.28 02:00,BUY,62.70700,62.58393,0.196,2025.04.28 08:00,62.58393,SL hit,-0.12307,-7.10747,703.63969
2025.05.16 20:00,2025.05.19 00:00,BUY,62.01900,61.43088,0.948,2025.05.19 06:00,61.43088,SL hit,-0.58812,-7.03640,696.60329
2025.05.23 22:00,2025.05.26 02:00,BUY,61.54200,60.99177,0.894,2025.05.27 04:00,61.10900,opposite cross,-0.43300,-5.48190,691.12139
2025.07.01 16:00,2025.07.01 20:00,BUY,65.05100,64.56301,0.750,2025.07.02 06:00,64.56301,SL hit,-0.48799,-6.91121,684.21018
2025.08.14 18:00,2025.08.14 22:00,BUY,62.96200,62.36186,0.953,2025.08.15 08:00,62.36186,SL hit,-0.60014,-6.84210,677.36808
2025.09.15 04:00,2025.09.15 08:00,BUY,62.78200,62.40613,0.599,2025.09.18 08:00,63.32500,opposite cross,0.54300,9.78561,687.15369
2025.10.21 18:00,2025.10.21 22:00,BUY,57.52000,56.96875,0.958,2025.10.28 08:00,60.35100,opposite cross,2.83100,35.28962,722.44331
2025.11.10 04:00,2025.11.10 08:00,BUY,60.10800,59.73273,0.624,2025.11.10 10:00,59.73273,SL hit,-0.37527,-7.22443,715.21888
2025.11.24 22:00,2025.11.25 02:00,BUY,58.64300,58.19243,0.768,2025.11.25 12:00,58.19243,SL hit,-0.45057,-7.15219,708.06669
2025.11.26 22:00,2025.11.27 02:00,BUY,58.24600,58.03532,0.362,2025.12.02 18:00,58.75700,opposite cross,0.51100,17.17413,725.24082
2025.12.18 00:00,2025.12.18 04:00,BUY,56.20400,56.07783,0.224,2025.12.18 08:00,56.07783,SL hit,-0.12617,-7.25241,717.98841
2026.02.16 20:00,2026.02.17 02:00,BUY,63.44100,62.95060,0.773,2026.02.17 08:00,62.95060,SL hit,-0.49040,-7.17988,710.80853
2026.04.16 18:00,2026.04.16 22:00,BUY,89.80000,89.30208,0.554,2026.04.17 04:00,89.30208,SL hit,-0.49792,-7.10809,703.70044
2026.06.30 10:00,2026.06.30 14:00,BUY,70.79100,70.15006,0.905,2026.06.30 14:00,70.15006,SL hit,-0.64094,-7.03700,696.66344
2026.07.03 06:00,2026.07.03 10:00,BUY,68.63800,68.45483,0.267,2026.07.03 10:00,68.45483,SL hit,-0.18317,-6.96663,689.69680
2026.07.06 20:00,2026.07.07 00:00,BUY,68.74400,68.55727,0.272,2026.07.09 22:00,71.59400,opposite cross,2.85000,105.26841,794.96521
