signal_time_exp,dir_exp,exp_pnl,key,signal_time_ea,entry_time,dir_ea,entry,stop,stop_pct,exit_time,exit_price,reason,pnl_points,pnl_usd,virtual_balance,pnl_diff
2020-10-09 02:00:00,L,-0.2348243697420216,2020-10-09 02:00:00|L,2020-10-09 02:00:00,2020.10.13 00:00,L,39.814,39.57918,0.59,2020.10.15 00:00,39.57918,SL hit,-0.23482,-5.0,495.0,4.369742021587131e-06
2021-11-16 04:00:00,L,-0.7420429696224318,2021-11-16 04:00:00|L,2021-11-16 04:00:00,2021.11.16 08:00,L,80.217,79.47496,0.925,2021.11.16 14:00,79.47496,SL hit,-0.74204,-7.42043,487.57957,2.969622431736596e-06
2021-12-06 04:00:00,L,-0.5518462387833125,2021-12-06 04:00:00|L,2021-12-06 04:00:00,2021.12.06 08:00,L,67.709,67.15715,0.815,2021.12.06 08:00,67.15715,SL hit,-0.55185,-5.51846,482.06111,3.761216687436786e-06
2022-01-04 04:00:00,L,2.381999999999991,2022-01-04 04:00:00|L,2022-01-04 04:00:00,2022.01.04 08:00,L,75.828,75.70568,0.161,2022.01.10 16:00,78.21,opposite cross,2.382,93.87518,575.93628,9.325873406851315e-15
2022-01-11 10:00:00,L,4.967999999999989,2022-01-11 10:00:00|L,2022-01-11 10:00:00,2022.01.11 14:00,L,78.9,78.27953,0.786,2022.01.21 00:00,83.868,opposite cross,4.968,49.68,625.61628,1.0658141036401503e-14
2022-06-24 18:00:00,L,-0.7040451761886999,2022-06-24 18:00:00|L,2022-06-24 18:00:00,2022.06.26 22:00,L,105.22,104.51595,0.669,2022.06.27 00:00,104.51595,SL hit,-0.70405,-7.04045,618.57583,4.8238113000698135e-06
2022-10-25 18:00:00,L,-0.3620063761292869,2022-10-25 18:00:00|L,2022-10-25 18:00:00,2022.10.25 22:00,L,84.585,84.22299,0.428,2022.10.26 00:00,84.22299,SL hit,-0.36201,-6.18576,612.39007,3.623870713120869e-06
2023-02-01 04:00:00,L,-0.7630925845447933,2023-02-01 04:00:00|L,2023-02-01 04:00:00,2023.02.01 08:00,L,79.427,78.66391,0.961,2023.02.01 14:00,78.66391,SL hit,-0.76309,-7.63093,604.75915,2.5845447932937304e-06
2023-05-22 20:00:00,L,-0.5102481404577475,2023-05-22 20:00:00|L,2023-05-22 20:00:00,2023.05.23 00:00,L,72.266,71.75575,0.706,2023.05.23 06:00,71.75575,SL hit,-0.51025,-6.04759,598.71156,1.859542252513613e-06
2023-08-18 18:00:00,L,-0.5630000000000024,2023-08-18 18:00:00|L,2023-08-18 18:00:00,2023.08.20 22:00,L,80.452,79.82782,0.776,2023.08.22 02:00,79.889,opposite cross,-0.563,-5.63,579.88267,2.4424906541753444e-15
2023-09-26 20:00:00,L,0.8119999999999976,2023-09-26 20:00:00|L,2023-09-26 20:00:00,2023.09.27 00:00,L,89.959,89.20911,0.834,2023.09.29 00:00,90.771,opposite cross,0.812,8.12,588.00267,2.4424906541753444e-15
2023-11-02 20:00:00,L,-0.8222921545497712,2023-11-02 20:00:00|L,2023-11-02 20:00:00,2023.11.03 00:00,L,82.316,81.49371,0.999,2023.11.03 12:00,81.49371,SL hit,-0.82229,-8.22292,579.77975,2.1545497712605055e-06
2023-12-08 18:00:00,L,-0.6237488741486885,2023-12-08 18:00:00|L,2023-12-08 18:00:00,2023.12.10 22:00,L,71.276,70.65225,0.875,2023.12.11 10:00,70.65225,SL hit,-0.62375,-6.23749,573.54226,1.125851311511994e-06
2024-01-09 22:00:00,L,-0.6930692138607668,2024-01-09 22:00:00|L,2024-01-09 22:00:00,2024.01.10 02:00,L,72.521,71.82793,0.956,2024.01.10 08:00,71.82793,SL hit,-0.69307,-6.93069,566.61157,7.861392331554029e-07
2024-02-06 20:00:00,L,2.8130000000000024,2024-02-06 20:00:00|L,2024-02-06 20:00:00,2024.02.07 00:00,L,73.432,73.04151,0.532,2024.02.14 22:00,76.245,opposite cross,2.813,40.81747,607.42904,2.220446049250313e-15
2024-02-22 00:00:00,L,-0.5888913557097624,2024-02-22 00:00:00|L,2024-02-22 00:00:00,2024.02.22 04:00,L,77.917,77.32811,0.756,2024.02.22 12:00,77.32811,SL hit,-0.58889,-6.07429,601.35475,1.3557097623406733e-06
2024-02-27 00:00:00,L,1.061000000000007,2024-02-27 00:00:00|L,2024-02-27 00:00:00,2024.02.27 04:00,L,77.306,76.77502,0.687,2024.03.04 22:00,78.367,opposite cross,1.061,12.01612,613.37087,7.105427357601002e-15
2024-03-28 00:00:00,L,3.4450000000000074,2024-03-28 00:00:00|L,2024-03-28 00:00:00,2024.03.28 04:00,L,81.428,81.16173,0.327,2024.04.08 06:00,84.873,opposite cross,3.445,79.35742,692.72829,7.549516567451064e-15
2024-05-13 22:00:00,L,-0.321989322180741,2024-05-13 22:00:00|L,2024-05-13 22:00:00,2024.05.14 02:00,L,78.69,78.36801,0.409,2024.05.14 08:00,78.36801,SL hit,-0.32199,-6.78943,672.15356,6.778192589984577e-07
2024-05-16 02:00:00,L,-0.5224029744952787,2024-05-16 02:00:00|L,2024-05-16 02:00:00,2024.05.16 06:00,L,78.529,78.0066,0.665,2024.05.16 08:00,78.0066,SL hit,-0.5224,-6.72154,665.43203,2.9744952787513768e-06
2024-05-24 22:00:00,L,1.0729999999999933,2024-05-24 22:00:00|L,2024-05-24 22:00:00,2024.05.27 02:00,L,77.73,77.10232,0.808,2024.05.30 06:00,78.803,opposite cross,1.073,11.3754,676.80743,6.661338147750939e-15
2024-07-11 02:00:00,L,-0.7179511022264222,2024-07-11 02:00:00|L,2024-07-11 02:00:00,2024.07.11 06:00,L,81.929,81.21105,0.876,2024.07.11 10:00,81.21105,SL hit,-0.71795,-7.17951,669.62792,1.1022264222448896e-06
2024-08-23 04:00:00,L,2.0799999999999983,2024-08-23 04:00:00|L,2024-08-23 04:00:00,2024.08.23 08:00,L,73.135,72.52758,0.831,2024.08.28 04:00,75.215,opposite cross,2.08,22.70092,685.63255,1.7763568394002505e-15
2024-10-21 18:00:00,L,-0.3573431830991609,2024-10-21 18:00:00|L,2024-10-21 18:00:00,2024.10.21 22:00,L,69.863,69.50566,0.511,2024.10.22 06:00,69.50566,SL hit,-0.35734,-6.85633,678.77623,3.1830991609194115e-06
2024-12-09 18:00:00,L,-0.1534315946186808,2024-12-09 18:00:00|L,2024-12-09 18:00:00,2024.12.09 22:00,L,67.896,67.74257,0.226,2024.12.10 04:00,67.74257,SL hit,-0.15343,-6.78776,671.98847,1.5946186807946905e-06
2024-12-24 08:00:00,L,-0.411279777399173,2024-12-24 08:00:00|L,2024-12-24 08:00:00,2024.12.24 12:00,L,69.66,69.24872,0.59,2024.12.26 18:00,69.24872,SL hit,-0.41128,-6.65269,658.6159,2.2260082699343542e-07
2025-01-09 22:00:00,L,3.5719999999999885,2025-01-09 22:00:00|L,2025-01-09 22:00:00,2025.01.10 02:00,L,73.492,73.16962,0.439,2025.01.17 16:00,77.064,opposite cross,3.572,72.97414,731.59003,1.1546319456101628e-14
2025-02-03 00:00:00,L,-0.7257796484848029,2025-02-03 00:00:00|L,2025-02-03 00:00:00,2025.02.03 04:00,L,73.282,72.55622,0.99,2025.02.03 14:00,72.55622,SL hit,-0.72578,-7.3159,724.27413,3.5151519706122514e-07
2025-02-10 06:00:00,L,0.0550000000000068,2025-02-10 06:00:00|L,2025-02-10 06:00:00,2025.02.10 10:00,L,71.488,70.94454,0.76,2025.02.12 18:00,71.543,opposite cross,0.055,0.73299,725.00712,6.800116025829084e-15
2025-02-18 02:00:00,L,-0.4758426829899207,2025-02-18 02:00:00|L,2025-02-18 02:00:00,2025.02.18 06:00,L,71.405,70.92916,0.666,2025.02.18 12:00,70.92916,SL hit,-0.47584,-7.25007,717.75705,2.6829899207325703e-06
