signal_time,dir,exp_pnl,ea_pnl,pnl_diff,entry_time,exit_time,reason
2021-11-16 04:00:00,L,-0.7420429696224318,-0.74204,2.969622431736596e-06,2021.11.16 08:00,2021.11.16 14:00,SL hit
2021-12-06 04:00:00,L,-0.5518462387833125,-0.55185,3.761216687436786e-06,2021.12.06 08:00,2021.12.06 08:00,SL hit
2022-01-04 04:00:00,L,2.381999999999991,2.382,9.325873406851315e-15,2022.01.04 08:00,2022.01.10 16:00,opposite cross
2022-01-11 10:00:00,L,4.967999999999989,4.968,1.0658141036401503e-14,2022.01.11 14:00,2022.01.21 00:00,opposite cross
2022-06-24 18:00:00,L,-0.7040451761886999,-0.70405,4.8238113000698135e-06,2022.06.26 22:00,2022.06.27 00:00,SL hit
2022-10-25 18:00:00,L,-0.3620063761292869,-0.36201,3.623870713120869e-06,2022.10.25 22:00,2022.10.26 00:00,SL hit
2023-02-01 04:00:00,L,-0.7630925845447933,-0.76309,2.5845447932937304e-06,2023.02.01 08:00,2023.02.01 14:00,SL hit
2023-05-22 20:00:00,L,-0.5102481404577475,-0.51025,1.859542252513613e-06,2023.05.23 00:00,2023.05.23 06:00,SL hit
2023-08-18 18:00:00,L,-0.5630000000000024,-0.563,2.4424906541753444e-15,2023.08.20 22:00,2023.08.22 02:00,opposite cross
2023-09-26 20:00:00,L,0.8119999999999976,0.812,2.4424906541753444e-15,2023.09.27 00:00,2023.09.29 00:00,opposite cross
2023-11-02 20:00:00,L,-0.8222921545497712,-0.82229,2.1545497712605055e-06,2023.11.03 00:00,2023.11.03 12:00,SL hit
2023-12-08 18:00:00,L,-0.6237488741486885,-0.62375,1.125851311511994e-06,2023.12.10 22:00,2023.12.11 10:00,SL hit
2024-01-09 22:00:00,L,-0.6930692138607668,-0.69307,7.861392331554029e-07,2024.01.10 02:00,2024.01.10 08:00,SL hit
2024-02-06 20:00:00,L,2.8130000000000024,2.813,2.220446049250313e-15,2024.02.07 00:00,2024.02.14 22:00,opposite cross
2024-02-22 00:00:00,L,-0.5888913557097624,-0.58889,1.3557097623406733e-06,2024.02.22 04:00,2024.02.22 12:00,SL hit
2024-02-27 00:00:00,L,1.061000000000007,1.061,7.105427357601002e-15,2024.02.27 04:00,2024.03.04 22:00,opposite cross
2024-03-28 00:00:00,L,3.4450000000000074,3.445,7.549516567451064e-15,2024.03.28 04:00,2024.04.08 06:00,opposite cross
2024-05-13 22:00:00,L,-0.32198932218074106,-0.32199,6.778192589429466e-07,2024.05.14 02:00,2024.05.14 08:00,SL hit
2024-05-16 02:00:00,L,-0.5224029744952787,-0.5224,2.9744952787513768e-06,2024.05.16 06:00,2024.05.16 08:00,SL hit
2024-05-24 22:00:00,L,1.0729999999999933,1.073,6.661338147750939e-15,2024.05.27 02:00,2024.05.30 06:00,opposite cross
2024-07-11 02:00:00,L,-0.7179511022264222,-0.71795,1.1022264222448896e-06,2024.07.11 06:00,2024.07.11 10:00,SL hit
2024-08-23 04:00:00,L,2.0799999999999983,2.08,1.7763568394002505e-15,2024.08.23 08:00,2024.08.28 04:00,opposite cross
2024-10-21 18:00:00,L,-0.3573431830991609,-0.35734,3.1830991609194115e-06,2024.10.21 22:00,2024.10.22 06:00,SL hit
2024-12-09 18:00:00,L,-0.15343159461868083,-0.15343,1.594618680822446e-06,2024.12.09 22:00,2024.12.10 04:00,SL hit
2024-12-24 08:00:00,L,-0.411279777399173,-0.41128,2.2260082699343542e-07,2024.12.24 12:00,2024.12.26 18:00,SL hit
2025-01-09 22:00:00,L,3.5719999999999885,3.572,1.1546319456101628e-14,2025.01.10 02:00,2025.01.17 16:00,opposite cross
2025-02-03 00:00:00,L,-0.7257796484848029,-0.72578,3.5151519706122514e-07,2025.02.03 04:00,2025.02.03 14:00,SL hit
2025-02-10 06:00:00,L,0.05500000000000682,0.055,6.8209327075408055e-15,2025.02.10 10:00,2025.02.12 18:00,opposite cross
2025-02-18 02:00:00,L,-0.4758426829899207,-0.47584,2.6829899207325703e-06,2025.02.18 06:00,2025.02.18 12:00,SL hit
2025-03-12 02:00:00,L,-0.13754553202930708,-0.13755,4.467970692922929e-06,2025.03.12 06:00,2025.03.12 06:00,SL hit
2025-03-20 04:00:00,L,-0.34299710260948757,-0.343,2.8973905124574095e-06,2025.03.20 08:00,2025.03.20 10:00,SL hit
2025-05-23 22:00:00,L,-0.43299999999999983,-0.433,1.6653345369377348e-16,2025.05.26 02:00,2025.05.27 04:00,opposite cross
2025-07-01 16:00:00,L,-0.48798791686796505,-0.48799,2.0831320349246063e-06,2025.07.01 20:00,2025.07.02 06:00,SL hit
2025-08-14 18:00:00,L,-0.6001379133984628,-0.60014,2.0866015372211777e-06,2025.08.14 22:00,2025.08.15 08:00,SL hit
2025-09-15 04:00:00,L,0.5430000000000064,0.543,6.328271240363392e-15,2025.09.15 08:00,2025.09.18 08:00,opposite cross
2025-10-21 18:00:00,L,2.830999999999996,2.831,3.9968028886505635e-15,2025.10.21 22:00,2025.10.28 08:00,opposite cross
2025-11-10 04:00:00,L,-0.37527296431941437,-0.37527,2.964319414378025e-06,2025.11.10 08:00,2025.11.10 10:00,SL hit
2025-11-26 22:00:00,L,0.5109999999999957,0.511,4.3298697960381105e-15,2025.11.27 02:00,2025.12.02 18:00,opposite cross
2026-07-06 20:00:00,L,2.8499999999999943,2.85,5.773159728050814e-15,2026.07.07 00:00,2026.07.09 22:00,opposite cross
