signal_time,entry_time,dir,entry,stop,stop_pct,exit_time,exit_price,reason,pnl_points,pnl_usd,virtual_balance,key
2023-05-29 00:00:00,2023.05.29 04:00,L,73.269,72.54054,0.994,2023.05.29 08:00,72.54054,SL hit,-0.72846,-7.28461,591.42694,2023-05-29 00:00:00|L
2023-05-29 18:00:00,2023.05.30 02:00,L,73.181,72.70636,0.649,2023.05.30 02:00,72.70636,SL hit,-0.47464,-5.91427,585.51267,2023-05-29 18:00:00|L
2024-04-11 00:00:00,2024.04.11 04:00,L,85.805,85.137,0.779,2024.04.11 10:00,85.137,SL hit,-0.668,-6.92728,685.801,2024-04-11 00:00:00|L
2024-04-16 02:00:00,2024.04.16 06:00,L,85.407,84.86773,0.631,2024.04.16 06:00,84.86773,SL hit,-0.53927,-6.85801,678.94299,2024-04-16 02:00:00|L
2024-08-15 22:00:00,2024.08.16 02:00,L,76.776,76.56672,0.273,2024.08.16 04:00,76.56672,SL hit,-0.20928,-6.69628,662.93164,2024-08-15 22:00:00|L
2024-12-23 04:00:00,2024.12.23 08:00,L,69.599,69.22479,0.538,2024.12.23 10:00,69.22479,SL hit,-0.37421,-6.71988,665.26858,2024-12-23 04:00:00|L
2025-04-25 22:00:00,2025.04.28 02:00,L,62.707,62.58393,0.196,2025.04.28 08:00,62.58393,SL hit,-0.12307,-7.03474,696.43895,2025-04-25 22:00:00|L
2025-05-16 20:00:00,2025.05.19 00:00,L,62.019,61.43088,0.948,2025.05.19 06:00,61.43088,SL hit,-0.58812,-6.96439,689.47456,2025-05-16 20:00:00|L
2025-11-24 22:00:00,2025.11.25 02:00,L,58.643,58.19243,0.768,2025.11.25 12:00,58.19243,SL hit,-0.45057,-7.079,700.82065,2025-11-24 22:00:00|L
2025-12-18 00:00:00,2025.12.18 04:00,L,56.204,56.07783,0.224,2025.12.18 08:00,56.07783,SL hit,-0.12617,-7.17819,710.64083,2025-12-18 00:00:00|L
2026-02-16 20:00:00,2026.02.17 02:00,L,63.441,62.9506,0.773,2026.02.17 08:00,62.9506,SL hit,-0.4904,-7.10641,703.53442,2026-02-16 20:00:00|L
2026-04-16 18:00:00,2026.04.16 22:00,L,89.8,89.30208,0.554,2026.04.17 04:00,89.30208,SL hit,-0.49792,-7.03534,696.49908,2026-04-16 18:00:00|L
2026-06-30 10:00:00,2026.06.30 14:00,L,70.791,70.15006,0.905,2026.06.30 14:00,70.15006,SL hit,-0.64094,-6.96499,689.53409,2026-06-30 10:00:00|L
2026-07-03 06:00:00,2026.07.03 10:00,L,68.638,68.45483,0.267,2026.07.03 10:00,68.45483,SL hit,-0.18317,-6.89534,682.63875,2026-07-03 06:00:00|L
2026-08-14 22:00:00,2026.08.17 02:00,L,81.737,80.99548,0.907,2026.08.17 06:00,80.99548,SL hit,-0.74152,-7.8683,778.96159,2026-08-14 22:00:00|L
