signal_time,dir,ea_pnl,entry_time,reason
2023-05-29 00:00:00,L,-0.72846,2023.05.29 04:00,SL hit
2023-05-29 18:00:00,L,-0.47464,2023.05.30 02:00,SL hit
2024-04-11 00:00:00,L,-0.668,2024.04.11 04:00,SL hit
2024-04-16 02:00:00,L,-0.53927,2024.04.16 06:00,SL hit
2024-08-15 22:00:00,L,-0.20928,2024.08.16 02:00,SL hit
2024-12-23 04:00:00,L,-0.37421,2024.12.23 08:00,SL hit
2025-04-25 22:00:00,L,-0.12307,2025.04.28 02:00,SL hit
2025-05-16 20:00:00,L,-0.58812,2025.05.19 00:00,SL hit
2025-11-24 22:00:00,L,-0.45057,2025.11.25 02:00,SL hit
2025-12-18 00:00:00,L,-0.12617,2025.12.18 04:00,SL hit
2026-02-16 20:00:00,L,-0.4904,2026.02.17 02:00,SL hit
2026-04-16 18:00:00,L,-0.49792,2026.04.16 22:00,SL hit
2026-06-30 10:00:00,L,-0.64094,2026.06.30 14:00,SL hit
2026-07-03 06:00:00,L,-0.18317,2026.07.03 10:00,SL hit
