signal_time,entry_time,dir,entry,stop,stop_pct,exit_time,exit_price,reason,pnl_points,pnl_usd,virtual_balance
2021.07.27 14:00,2021.07.27 16:00,SELL,71.29200,71.55444,0.368,2021.07.27 18:00,71.55444,SL hit,-0.26244,-5.00000,495.00000
2021.08.13 14:00,2021.08.13 16:00,SELL,68.41500,68.52836,0.166,2021.08.23 14:00,64.97500,opposite cross,3.44000,150.20549,645.20549
2021.08.13 16:00,2021.08.13 18:00,SELL,68.15800,68.52836,0.543,2021.08.23 14:00,64.97500,opposite cross,3.18300,55.45045,700.65594
2021.09.30 10:00,2021.09.30 12:00,SELL,73.98000,74.62608,0.873,2021.09.30 14:00,74.62608,SL hit,-0.64608,-7.00656,693.64938
2021.10.01 06:00,2021.10.01 08:00,SELL,74.36800,74.67731,0.416,2021.10.01 12:00,74.67731,SL hit,-0.30931,-6.93649,686.71289
2021.10.01 08:00,2021.10.01 10:00,SELL,74.22100,74.67731,0.615,2021.10.01 12:00,74.67731,SL hit,-0.45631,-6.86713,679.84576
2021.11.25 14:00,2021.11.25 16:00,SELL,77.67200,77.84329,0.221,2021.11.25 16:00,77.84329,SL hit,-0.17129,-6.79846,673.04730
2021.11.25 22:00,2021.11.26 00:00,SELL,77.15100,77.84825,0.904,2021.12.03 10:00,68.09000,opposite cross,9.06100,90.61000,763.65730
2021.12.13 18:00,2021.12.13 20:00,SELL,71.14400,71.66461,0.732,2021.12.14 08:00,71.66461,SL hit,-0.52061,-7.63657,756.02073
2022.02.23 10:00,2022.02.23 12:00,SELL,91.25600,91.61052,0.388,2022.02.23 12:00,91.61052,SL hit,-0.35452,-7.56021,748.46052
2022.02.23 18:00,2022.02.23 20:00,SELL,91.23700,91.59909,0.397,2022.02.23 20:00,91.59909,SL hit,-0.36209,-7.48461,740.97591
2022.05.23 22:00,2022.05.24 00:00,SELL,109.02200,109.64000,0.567,2022.05.24 10:00,109.64000,SL hit,-0.61800,-7.40976,733.56616
2022.05.24 02:00,2022.05.24 04:00,SELL,108.99700,109.64000,0.590,2022.05.24 10:00,109.64000,SL hit,-0.64300,-7.33566,726.23049
2022.05.24 14:00,2022.05.24 16:00,SELL,109.22700,109.45123,0.205,2022.05.24 18:00,109.45123,SL hit,-0.22423,-7.26230,718.96819
2022.05.24 16:00,2022.05.24 18:00,SELL,109.14900,109.45123,0.277,2022.05.24 18:00,109.45123,SL hit,-0.30223,-7.18968,711.77851
2022.05.25 16:00,2022.05.25 18:00,SELL,109.23100,109.72350,0.451,2022.05.25 18:00,109.72350,SL hit,-0.49250,-7.11779,704.66072
2022.05.26 00:00,2022.05.26 02:00,SELL,109.30500,109.66034,0.325,2022.05.26 02:00,109.66034,SL hit,-0.35534,-7.04661,697.61411
2022.08.01 04:00,2022.08.01 06:00,SELL,96.65100,97.17791,0.545,2022.08.01 08:00,97.17791,SL hit,-0.52691,-6.97614,690.63797
2022.10.31 00:00,2022.10.31 02:00,SELL,86.92600,87.41320,0.560,2022.11.01 06:00,87.41320,SL hit,-0.48720,-6.90638,683.73159
2022.10.31 04:00,2022.10.31 06:00,SELL,86.74000,87.41320,0.776,2022.11.01 06:00,87.41320,SL hit,-0.67320,-6.83732,676.89428
2022.12.05 04:00,2022.12.05 06:00,SELL,80.65500,80.87087,0.268,2022.12.05 08:00,80.87087,SL hit,-0.21587,-6.76894,670.12534
2023.02.14 10:00,2023.02.14 12:00,SELL,79.19300,79.29735,0.132,2023.02.14 12:00,79.29735,SL hit,-0.10435,-6.70125,663.42408
2023.02.14 20:00,2023.02.14 22:00,SELL,78.93100,79.29735,0.464,2023.02.15 18:00,79.29735,SL hit,-0.36635,-6.63424,656.78984
2023.05.19 14:00,2023.05.19 16:00,SELL,71.65800,72.18020,0.729,2023.05.22 14:00,72.18020,SL hit,-0.52220,-6.56790,650.22194
2023.05.19 18:00,2023.05.19 20:00,SELL,71.93500,72.18020,0.341,2023.05.22 14:00,72.18020,SL hit,-0.24520,-6.50222,643.71972
2023.06.06 04:00,2023.06.06 06:00,SELL,71.75600,71.87934,0.172,2023.06.06 14:00,71.87934,SL hit,-0.12334,-6.43720,637.28253
2023.06.20 16:00,2023.06.20 18:00,SELL,70.75200,71.18463,0.611,2023.06.20 18:00,71.18463,SL hit,-0.43263,-6.37283,630.90970
2023.06.20 20:00,2023.06.20 22:00,SELL,70.82900,71.05474,0.319,2023.06.21 00:00,71.05474,SL hit,-0.22574,-6.30910,624.60060
2023.06.20 22:00,2023.06.21 00:00,SELL,70.89700,71.05474,0.222,2023.06.21 00:00,71.05474,SL hit,-0.15774,-6.24601,618.35460
2023.07.04 04:00,2023.07.04 06:00,SELL,70.03300,70.40998,0.538,2023.07.04 06:00,70.40998,SL hit,-0.37698,-6.18355,612.17105
2023.07.20 14:00,2023.07.20 16:00,SELL,75.05700,75.36441,0.410,2023.07.20 16:00,75.36441,SL hit,-0.30741,-6.12171,606.04934
2023.08.08 00:00,2023.08.08 02:00,SELL,81.60200,81.76759,0.203,2023.08.08 02:00,81.76759,SL hit,-0.16559,-6.06049,599.98885
2023.08.29 12:00,2023.08.29 14:00,SELL,79.55200,79.85798,0.385,2023.08.29 14:00,79.85798,SL hit,-0.30598,-5.99989,593.98896
2023.10.17 14:00,2023.10.17 16:00,SELL,85.06200,85.31615,0.299,2023.10.17 18:00,85.31615,SL hit,-0.25415,-5.93989,588.04907
2023.11.15 08:00,2023.11.15 10:00,SELL,77.80800,78.04735,0.308,2023.11.15 12:00,78.04735,SL hit,-0.23935,-5.88049,582.16858
2023.12.21 16:00,2023.12.21 18:00,SELL,73.44600,73.90540,0.625,2023.12.21 18:00,73.90540,SL hit,-0.45940,-5.82169,576.34689
2023.12.22 14:00,2023.12.22 16:00,SELL,73.79900,74.13520,0.456,2023.12.22 16:00,74.13520,SL hit,-0.33620,-5.76347,570.58342
2023.12.22 20:00,2023.12.25 22:00,SELL,73.90700,74.13520,0.309,2023.12.26 12:00,74.13520,SL hit,-0.22820,-5.70583,564.87759
2024.02.14 16:00,2024.02.14 18:00,SELL,76.54000,77.19945,0.862,2024.02.15 14:00,77.19945,SL hit,-0.65945,-6.59450,558.28309
2024.04.04 14:00,2024.04.04 16:00,SELL,84.57600,84.74932,0.205,2024.04.04 16:00,84.74932,SL hit,-0.17332,-5.58283,552.70026
2024.05.20 16:00,2024.05.20 18:00,SELL,78.87800,79.16474,0.364,2024.05.20 18:00,79.16474,SL hit,-0.28674,-5.52700,547.17326
2024.05.21 00:00,2024.05.21 02:00,SELL,78.99100,79.16474,0.220,2024.05.26 22:00,77.60100,opposite cross,1.39000,43.77567,590.94893
2024.05.21 02:00,2024.05.21 04:00,SELL,78.79600,79.16474,0.468,2024.05.26 22:00,77.60100,opposite cross,1.19500,19.15112,610.10005
2024.05.30 04:00,2024.05.30 06:00,SELL,78.80300,79.25368,0.572,2024.06.06 04:00,74.24200,opposite cross,4.56100,61.74374,671.84379
2024.07.03 08:00,2024.07.03 10:00,SELL,82.34700,82.52567,0.217,2024.07.03 12:00,82.52567,SL hit,-0.17867,-6.71844,665.12536
2024.07.04 06:00,2024.07.04 08:00,SELL,82.56300,82.71798,0.188,2024.07.04 08:00,82.71798,SL hit,-0.15498,-6.65125,658.47410
2024.07.05 16:00,2024.07.05 18:00,SELL,82.83700,83.13611,0.361,2024.07.11 02:00,81.94100,opposite cross,0.89600,19.72499,678.19909
