signal_bar_idx,entry_bar_idx,mode,dir,signal_time,entry_time,entry,stop,stop_source,stop_distance,planned_cross_idx,planned_exit_idx,exit_time_x,exit,exp_reason,exp_pnl,holding_bars,stop_hit,pnl_usd_001,risk_r,stop_pct_x,entry_time_n,key,entry_ea,stop_ea,stop_pct_y,exit_time_y,exit_price_ea,reason,pnl_ea,pnl_usd,virtual_balance,reason_ea,pnl_diff,entry_diff,exit_diff
673,674,pre_cross,S,2021-07-27 16:00:00,2021-07-27 16:00:00,71.292,71.554,prev_segment_sma13_extreme,0.262,768,769,2021-07-27 18:00:00,71.554,stop,-0.262,2,True,-0.262,-1.0,0.3675026650956629,2021-07-27 16:00:00,2021-07-27 16:00:00|S,71.292,71.55444,0.368,2021.07.27 18:00,71.55444,SL hit,-0.26244,-5.0,495.0,stop,0.00043999999999999595,0.0,0.00043999999999755346
831,832,pre_cross,S,2021-08-13 16:00:00,2021-08-13 16:00:00,68.415,68.528,prev_segment_sma13_extreme,0.113,903,904,2021-08-23 14:00:00,64.975,opposite_cross_next_open,3.44,72,False,3.44,30.442477876106192,0.1651684572096762,2021-08-13 16:00:00,2021-08-13 16:00:00|S,68.415,68.52836,0.166,2021.08.23 14:00,64.975,opposite cross,3.44,150.20549,645.20549,opposite_cross_next_open,0.0,0.0,0.0
832,833,cross,S,2021-08-13 18:00:00,2021-08-13 18:00:00,68.158,68.528,prev_segment_sma13_extreme,0.37,903,904,2021-08-23 14:00:00,64.975,opposite_cross_next_open,3.183,71,False,3.183,8.602702702702702,0.5428563044690279,2021-08-13 18:00:00,2021-08-13 18:00:00|S,68.158,68.52836,0.543,2021.08.23 14:00,64.975,opposite cross,3.183,55.45045,700.65594,opposite_cross_next_open,0.0,0.0,0.0
1236,1237,cross,S,2021-09-30 12:00:00,2021-09-30 12:00:00,73.98,74.626,prev_segment_sma13_extreme,0.646,1239,1240,2021-09-30 14:00:00,74.626,stop,-0.646,2,True,-0.6460000000000001,-1.0,0.8732089753987563,2021-09-30 12:00:00,2021-09-30 12:00:00|S,73.98,74.62608,0.873,2021.09.30 14:00,74.62608,SL hit,-0.64608,-7.00656,693.64938,stop,7.999999999996898e-05,0.0,7.999999999697138e-05
1246,1247,pre_cross,S,2021-10-01 08:00:00,2021-10-01 08:00:00,74.368,74.677,prev_segment_sma13_extreme,0.309,1250,1251,2021-10-01 12:00:00,74.677,stop,-0.309,3,True,-0.309,-1.0,0.4155012908777969,2021-10-01 08:00:00,2021-10-01 08:00:00|S,74.368,74.67731,0.416,2021.10.01 12:00,74.67731,SL hit,-0.30931,-6.93649,686.71289,stop,0.00030999999999997696,0.0,0.00030999999999892225
1247,1248,cross,S,2021-10-01 10:00:00,2021-10-01 10:00:00,74.221,74.677,prev_segment_sma13_extreme,0.456,1250,1251,2021-10-01 12:00:00,74.677,stop,-0.456,2,True,-0.456,-1.0,0.6143813745435928,2021-10-01 10:00:00,2021-10-01 10:00:00|S,74.221,74.67731,0.615,2021.10.01 12:00,74.67731,SL hit,-0.45631,-6.86713,679.84576,stop,0.00030999999999997696,0.0,0.00030999999999892225
1718,1719,pre_cross,S,2021-11-25 16:00:00,2021-11-25 16:00:00,77.672,77.843,prev_segment_sma13_extreme,0.171,1784,1785,2021-11-25 16:00:00,77.843,stop,-0.171,1,True,-0.171,-1.0,0.2201565557729941,2021-11-25 16:00:00,2021-11-25 16:00:00|S,77.672,77.84329,0.221,2021.11.25 16:00,77.84329,SL hit,-0.17129,-6.79846,673.0473,stop,0.0002899999999999847,0.0,0.000289999999992574
1720,1721,pre_cross,S,2021-11-26 00:00:00,2021-11-26 00:00:00,77.151,77.848,prev_segment_sma13_extreme,0.697,1784,1785,2021-12-03 10:00:00,68.09,opposite_cross_next_open,9.061,64,False,9.061,13.0,0.90342315718526,2021-11-26 00:00:00,2021-11-26 00:00:00|S,77.151,77.84825,0.904,2021.12.03 10:00,68.09,opposite cross,9.061,90.61,763.6573,opposite_cross_next_open,0.0,0.0,0.0
1861,1862,cross,S,2021-12-13 20:00:00,2021-12-13 20:00:00,71.144,71.665,prev_segment_sma13_extreme,0.521,1887,1888,2021-12-14 08:00:00,71.665,stop,-0.521,7,True,-0.521,-1.0,0.7323175531316766,2021-12-13 20:00:00,2021-12-13 20:00:00|S,71.144,71.66461,0.732,2021.12.14 08:00,71.66461,SL hit,-0.52061,-7.63657,756.02073,stop,0.00039000000000000146,0.0,0.0003900000000101045
2466,2467,cross,S,2022-02-23 12:00:00,2022-02-23 12:00:00,91.256,91.611,prev_segment_sma13_extreme,0.355,2468,2469,2022-02-23 12:00:00,91.611,stop,-0.355,1,True,-0.355,-1.0,0.3890155167879372,2022-02-23 12:00:00,2022-02-23 12:00:00|S,91.256,91.61052,0.388,2022.02.23 12:00,91.61052,SL hit,-0.35452,-7.56021,748.46052,stop,0.00047999999999998044,0.0,0.00048000000001025
2470,2471,pre_cross,S,2022-02-23 20:00:00,2022-02-23 20:00:00,91.237,91.599,prev_segment_sma13_extreme,0.362,2498,2499,2022-02-23 20:00:00,91.599,stop,-0.362,1,True,-0.362,-1.0,0.3967688547409494,2022-02-23 20:00:00,2022-02-23 20:00:00|S,91.237,91.59909,0.397,2022.02.23 20:00,91.59909,SL hit,-0.36209,-7.48461,740.97591,stop,9.00000000000345e-05,0.0,9.000000000014552e-05
3216,3217,pre_cross,S,2022-05-24 00:00:00,2022-05-24 00:00:00,109.022,109.64,prev_segment_sma13_extreme,0.618,3223,3224,2022-05-24 10:00:00,109.64,stop,-0.618,6,True,-0.618,-1.0,0.5668580653446093,2022-05-24 00:00:00,2022-05-24 00:00:00|S,109.022,109.64,0.567,2022.05.24 10:00,109.64,SL hit,-0.618,-7.40976,733.56616,stop,0.0,0.0,0.0
3218,3219,cross,S,2022-05-24 04:00:00,2022-05-24 04:00:00,108.997,109.64,prev_segment_sma13_extreme,0.643,3223,3224,2022-05-24 10:00:00,109.64,stop,-0.643,4,True,-0.643,-1.0,0.5899244933346789,2022-05-24 04:00:00,2022-05-24 04:00:00|S,108.997,109.64,0.59,2022.05.24 10:00,109.64,SL hit,-0.643,-7.33566,726.23049,stop,0.0,0.0,0.0
3224,3225,pre_cross,S,2022-05-24 16:00:00,2022-05-24 16:00:00,109.227,109.451,prev_segment_sma13_extreme,0.224,3228,3229,2022-05-24 18:00:00,109.451,stop,-0.224,2,True,-0.224,-1.0,0.2050774991531397,2022-05-24 16:00:00,2022-05-24 16:00:00|S,109.227,109.45123,0.205,2022.05.24 18:00,109.45123,SL hit,-0.22423,-7.2623,718.96819,stop,0.00023000000000000798,0.0,0.00023000000000195087
3225,3226,cross,S,2022-05-24 18:00:00,2022-05-24 18:00:00,109.149,109.451,prev_segment_sma13_extreme,0.302,3228,3229,2022-05-24 18:00:00,109.451,stop,-0.302,1,True,-0.302,-1.0,0.2766859980393774,2022-05-24 18:00:00,2022-05-24 18:00:00|S,109.149,109.45123,0.277,2022.05.24 18:00,109.45123,SL hit,-0.30223,-7.18968,711.77851,stop,0.00023000000000000798,0.0,0.00023000000000195087
3237,3238,cross,S,2022-05-25 18:00:00,2022-05-25 18:00:00,109.231,109.723,prev_segment_sma13_extreme,0.492,3238,3239,2022-05-25 18:00:00,109.723,stop,-0.492,1,True,-0.492,-1.0,0.4504215836163726,2022-05-25 18:00:00,2022-05-25 18:00:00|S,109.231,109.7235,0.451,2022.05.25 18:00,109.7235,SL hit,-0.4925,-7.11779,704.66072,stop,0.0005000000000000004,0.0,0.0005000000000023874
3241,3242,pre_cross,S,2022-05-26 02:00:00,2022-05-26 02:00:00,109.305,109.66,prev_segment_sma13_extreme,0.355,3294,3295,2022-05-26 02:00:00,109.66,stop,-0.355,1,True,-0.355,-1.0,0.3247792873153103,2022-05-26 02:00:00,2022-05-26 02:00:00|S,109.305,109.66034,0.325,2022.05.26 02:00,109.66034,SL hit,-0.35534,-7.04661,697.61411,stop,0.00034000000000000696,0.0,0.00034000000000844466
3801,3802,cross,S,2022-08-01 06:00:00,2022-08-01 06:00:00,96.651,97.178,prev_segment_sma13_extreme,0.527,3868,3869,2022-08-01 08:00:00,97.178,stop,-0.527,2,True,-0.527,-1.0,0.5452607836442459,2022-08-01 06:00:00,2022-08-01 06:00:00|S,96.651,97.17791,0.545,2022.08.01 08:00,97.17791,SL hit,-0.52691,-6.97614,690.63797,stop,9.00000000000345e-05,0.0,9.000000000014552e-05
4577,4578,pre_cross,S,2022-10-31 02:00:00,2022-10-31 02:00:00,86.926,87.413,prev_segment_sma13_extreme,0.487,4594,4595,2022-11-01 06:00:00,87.413,stop,-0.487,15,True,-0.487,-1.0,0.5602466465729471,2022-10-31 02:00:00,2022-10-31 02:00:00|S,86.926,87.4132,0.56,2022.11.01 06:00,87.4132,SL hit,-0.4872,-6.90638,683.73159,stop,0.00020000000000003348,0.0,0.0002000000000066393
