gate,n_min,thr,amp,trigger,n,wr,pf0,ev0,test_pf0,pos_years
4H,8,0.5,0.5-5%,cross,32,25.0,1.7505554798439593,0.24910534902224923,3.663767944002769,3/6
4H,8,0.5,1-8%,cross,37,16.216216216216218,1.0716204296853105,0.02567500428390638,2.8503598391729206,2/6
4H,8,0.5,0.5-8%,cross,40,20.0,1.3654301042673254,0.12439443947560651,2.395963909943545,3/6
4H,12,0.5,0.5-5%,cross,29,24.137931034482758,1.5542807064633202,0.18948584073996808,4.280336180218539,2/6
4H,12,0.5,1-8%,cross,36,16.666666666666664,1.101049255705719,0.036235994215870884,2.645138655268936,2/6
4H,12,0.5,0.5-8%,cross,37,18.91891891891892,1.1936167145890977,0.06755394031814484,2.8503598391729206,2/6
6H,8,0.5,0.5-5%,cross,29,13.793103448275861,1.1556802487928257,0.05399034042889639,1.0615377204633913,3/6
6H,8,0.5,1-8%,cross,34,14.705882352941178,1.2165567215479198,0.0789726865024076,1.893564683649426,3/6
6H,8,0.5,0.5-8%,cross,38,15.789473684210526,1.1936871708923777,0.06951114716437963,1.7257944102916134,3/6
6H,12,0.5,0.5-5%,cross,22,9.090909090909092,0.7286739511206116,-0.09930054988787065,1.5392185740453248,2/6
6H,12,0.5,1-8%,cross,30,13.333333333333334,0.9450071917988664,-0.02041216637371003,1.0805528985731891,3/6
6H,12,0.5,0.5-8%,cross,31,12.903225806451612,0.9046666856619762,-0.03577123799112013,2.350838854283428,2/6
8H,8,0.5,0.5-5%,cross,30,13.333333333333334,0.7861786552749308,-0.08555443119837397,2.3722281282505207,2/6
8H,8,0.5,1-8%,cross,33,15.151515151515152,1.0469937537393028,0.018062596533808192,2.0106791898365683,2/6
8H,8,0.5,0.5-8%,cross,34,14.705882352941178,1.007550735364885,0.002927126444183744,1.6796905431344022,2/6
8H,12,0.5,0.5-5%,cross,21,14.285714285714285,0.8678467310393145,-0.04843865172456234,1.7199112817507485,2/6
8H,12,0.5,1-8%,cross,24,16.666666666666664,1.2561006970439135,0.08939528897296167,1.3866684953870714,3/6
8H,12,0.5,0.5-8%,cross,25,16.0,1.1858162113248305,0.06595774195350629,1.3866684953870714,3/6
