tf,filter,n,wr,pf0,ev0,test_pf0,avg_stop,pos_years,pf_0.02,test_pf_0.02,pf_0.05,test_pf_0.05,pf_0.1,test_pf_0.1,pf_0.2,test_pf_0.2
1H,none,1053,24.406457739791072,1.1676966976069285,0.07661513654904123,1.1619193814442528,0.8219013986148314,5/7,1.1199392966414456,1.1116774194659063,1.0537817519782182,1.04233420846135,0.9561432494026955,0.94050962545859,0.7978638730512018,0.7767440574698372
1H,way>=0,535,25.233644859813083,1.2986332876116784,0.13200888821361553,1.1104162499849777,0.7647230979709273,4/7,1.2450837611863008,1.0659623416192596,1.1709768574274484,1.004124661279522,1.0618360068191306,0.912316689445711,0.8855509824844742,0.7621527065565774
1H,way>=0.3,315,21.26984126984127,1.014879366470752,0.006470949139603744,1.1393307163402848,0.6308697780855506,3/7,0.9699811116958591,1.0893607263136538,0.9082585103915705,1.0203626410536493,0.8182340581326153,0.9190702327347731,0.6748046830432128,0.7565794520702397
1H,way>=0.5,169,33.72781065088758,1.7197389538618941,0.3070176867381581,1.5288491767919372,0.7428046775514429,6/7,1.652453216400707,1.4787320294474717,1.558633420101861,1.4076443639575422,1.4188433434224654,1.2985928406258498,1.1899668821321483,1.1114151725659194
2H,none,575,25.565217391304344,1.0242655902435027,0.016431183606823763,0.8365901284174497,1.2009316129446834,3/7,0.9948431665006645,0.8136198838921349,0.9530189603834821,0.7808530517802057,0.8888836074818216,0.7303237132581709,0.7782664279595566,0.6425237050445813
2H,way>=0,284,25.704225352112676,1.2783194987029673,0.17911776189126458,0.9230791851765033,1.0714636406997438,5/7,1.241663110937657,0.8983291865437278,1.1896791327832326,0.8630226230549783,1.11021264777803,0.8085746534677312,0.9736744496961398,0.7138857290193872
2H,way>=0.3,167,25.748502994011975,1.1061099443251958,0.06560628560546777,0.5972961652774708,0.9659560038589984,4/7,1.0720323423147624,0.5793771113289045,1.0238114243584813,0.5537446462755575,0.9503366705463959,0.5140523858725813,0.8251469019147556,0.4451808250277973
2H,way>=0.5,98,31.63265306122449,1.10897812933764,0.07288849549283102,0.7490197210667143,1.1375124077856322,4/7,1.0774912265784908,0.7283157498634608,1.0325574042122516,0.6985155423210904,0.963223844778704,0.6519369121108004,0.8424329116028455,0.569927701755645
4H,none,317,24.9211356466877,1.089249812971935,0.07455409938781353,1.0087067277364579,1.4429740711964216,4/7,1.0641543053766052,0.9843023014855741,1.0281299431034674,0.9493808560662415,0.9720529097950172,0.8952767558145801,0.872766956970834,0.8001992862319287
4H,way>=0,159,23.270440251572328,1.2982043862576593,0.23292980971407504,1.4995046351220485,1.2595994673229118,3/7,1.2673473333070182,1.4608012345826007,1.2232286790916276,1.4057745744830425,1.154959199034282,1.3213385372190958,1.0352310959839752,1.1753179302350867
4H,way>=0.3,115,20.869565217391305,1.082870014471133,0.06498568943825679,1.0182021787769886,1.1981460992592685,4/7,1.0562311059244298,0.9945897217660865,1.0181919597448092,0.9608844074182469,0.9594421941173737,0.9088562227755335,0.856764792797573,0.8179871657873208
4H,way>=0.5,64,26.5625,1.1002778047614488,0.07203938583339198,0.3108707515257077,1.352773360724289,4/7,1.0709867781167026,0.2958174717787515,1.0291867217900321,0.2746939813969813,0.964688865130124,0.24290131353642988,0.8521634001697699,0.18962509833286972
6H,none,209,25.837320574162682,1.098556491821358,0.09963636867531489,0.8742693757455734,1.9054990995250956,4/7,1.0776320506674488,0.8563856577722543,1.0473534348947882,0.8305930304683438,0.9996650198909891,0.7901555833894445,0.9135477369424946,0.7178933620570564
6H,way>=0,100,22.0,1.3642962750602834,0.39184586554639117,1.0996495341283485,1.7696577911857014,4/7,1.3407415665697089,1.0806678938856737,1.306592582784965,1.053212760999286,1.252793309874731,1.0099799041228648,1.1555316847519668,0.9318852134875338
6H,way>=0.3,57,19.298245614035086,1.018646048185147,0.0199113792804629,1.2201467237202352,1.6590278160175156,3/7,0.9999182545746598,1.1988171170753559,0.9728648505350593,1.1680615564945382,0.9303620251556902,1.1198595881315467,0.8538866986425812,1.0334887026705433
6H,way>=0.5,40,22.5,1.073062770926319,0.08741486611522316,1.5864149670913752,1.9588394298496752,3/7,1.0556189200169102,1.563327693987521,1.0302688424037878,1.5297944135557844,0.9901377004162221,1.4766527805801033,0.9169778275186498,1.379597990700887
