strategy,family,variant,n,win_rate,avg_pts,total_pts,pf,max_dd_pts,sl_total
1H_M30_4H,基线,baseline,572,0.3723776223776224,10.649170033201724,6091.325258991386,1.4737526476741756,2334.2040327413297,12857.606788892725
1H_M30_4H,消息面,news_V1_T1h,517,0.3617021276595745,9.014227105597705,4660.355413594013,1.3938038022477,2037.5003444869603,11834.206239234536
1H_M30_4H,消息面,news_V1_T2h,476,0.34663865546218486,6.762257247558568,3218.8344498378783,1.2869452435189217,2341.9487574315795,11217.591239234538
1H_M30_4H,消息面,news_V1_T4h,418,0.3373205741626794,2.497228223486454,1043.8413974173377,1.1024106049049964,3434.9120899709224,10192.708053874705
1H_M30_4H,消息面,news_V1_T8h,312,0.3333333333333333,4.432912893640836,1383.0688228159408,1.1791878828782778,2585.2312107591342,7718.53989566616
1H_M30_4H,冷却,cd_post=3bar,301,0.3654485049833887,12.089541633357857,3638.952031640715,1.5476623782449694,1387.5331669866373,6644.5170897114485
1H_M30_4H,冷却,cd_post=6bar,220,0.37272727272727274,14.255843161177468,3136.285495459043,1.6495292531108179,1114.3719097481485,4828.551570908158
1H_M30_4H,冷却,loss_cd 2连亏→120h,278,0.539568345323741,41.2231183372878,11460.026897766009,3.724525335201876,907.9052107347761,4206.247139528568
1H_M30_4H,冷却,cd_post3bar+loss_cd,199,0.41708542713567837,24.531317524566635,4881.73218738876,2.276658398167279,961.7985017458518,3823.8358784125676
1H_M30_4H,组合,news_T1h+cd+loss_cd,187,0.41711229946524064,21.624811612366518,4043.839771512539,2.1042957569790834,727.9212530864811,3661.917331435634
30m2H,基线,baseline,149,0.37583892617449666,25.456780196432724,3793.060249268476,2.2033830482984893,659.9302902526601,3151.9974081666123
30m2H,消息面,news_V1_T1h,139,0.3669064748201439,23.872702081289194,3318.305589299198,2.1000453624708393,655.4005696150306,3016.517047847798
30m2H,消息面,news_V1_T2h,128,0.375,25.85036182316385,3308.846313364973,2.2534467612257845,523.4155696150309,2639.7980478477994
30m2H,消息面,news_V1_T4h,115,0.3652173913043478,26.63508109590003,3063.0343260285035,2.2851403126499386,462.405893969064,2383.4240478478005
30m2H,消息面,news_V1_T8h,98,0.32653061224489793,22.478784598988792,2202.9208907009015,2.0342305842220405,575.6920723431042,2130.009423728232
30m2H,冷却,cd_post=3bar,96,0.375,29.405142229013396,2822.893653985286,2.3362789097222447,448.75099999998974,2112.503335528992
30m2H,冷却,loss_cd 2连亏→120h,79,0.4936708860759494,32.04637437574341,2531.6635756837295,2.7871258687963025,408.3578558856302,1416.6117898505386
30m2H,冷却,cd_post3bar+loss_cd,64,0.390625,18.175563977507686,1163.236094560492,1.870417988801877,425.9138558856298,1336.4109077773962
30m2H,组合,news_T1h+cd+loss_cd,59,0.3728813559322034,10.777815162042222,635.8910945604911,1.5083473097680977,460.8398558856293,1250.8989077773965
2H_M30_6H,基线,baseline,1071,0.3352007469654528,9.30703042512424,9967.829585308062,1.5178165479406684,2306.6741503140056,19249.731637487515
2H_M30_6H,消息面,news_V1_T1h,945,0.3343915343915344,9.04732594630344,8549.723019256751,1.5021252476075202,2109.4845146757534,17027.072548121563
2H_M30_6H,消息面,news_V1_T2h,845,0.3431952662721893,9.980571451458541,8433.582876482467,1.5630967786035728,1797.694447021463,14977.146375081325
2H_M30_6H,消息面,news_V1_T4h,723,0.35131396957123096,10.204659949889743,7377.969143770284,1.585299010165037,1916.9957284147122,12605.470051435617
2H_M30_6H,消息面,news_V1_T8h,582,0.3694158075601375,11.06021755782201,6437.04661865241,1.6475739033140713,1291.3131008106884,9940.250194934835
2H_M30_6H,冷却,cd_post=3bar,610,0.3295081967213115,9.060279782695973,5526.7706674445435,1.5123311961953156,1242.2516457264192,10787.495878618285
2H_M30_6H,冷却,loss_cd 2连亏→120h,468,0.5042735042735043,24.983557715364622,11692.305010790644,3.1300733946122627,583.7838768320325,5489.155932544283
2H_M30_6H,冷却,cd_post3bar+loss_cd,357,0.4005602240896359,13.320030660392673,4755.250945760185,1.9453435653223732,467.5928975623601,5030.182803580612
2H_M30_6H,组合,news_T1h+cd+loss_cd,334,0.38622754491017963,10.559980392885288,3527.0334512236864,1.6993831876849936,527.2835910465374,5043.062963664324
BiasReversal,基线,baseline,289,0.33217993079584773,741.3263543252596,214243.3164,2.004633705576433,31123.257200000167,213255.15480000013
BiasReversal,消息面,news_V1_T1h,253,0.308300395256917,611.0468426877462,154594.8511999998,1.82344704752336,37824.069600000075,187741.0960000001
BiasReversal,消息面,news_V1_T2h,232,0.3103448275862069,616.3242482758618,142987.22559999995,1.836845250258865,33999.069600000075,170864.59600000008
BiasReversal,消息面,news_V1_T4h,196,0.2857142857142857,372.0261061224497,72917.11680000013,1.4877642823015595,31778.624400000088,149492.5304000001
BiasReversal,消息面,news_V1_T8h,150,0.25333333333333335,189.8276533333351,28474.148000000263,1.2270859098552533,26136.314800000033,125389.3208000001
BiasReversal,冷却,loss_cd 2连亏→120h,289,0.33217993079584773,741.3263543252596,214243.3164,2.004633705576433,31123.257200000167,213255.15480000013
BiasReversal,组合,news_T1h+cd+loss_cd,253,0.308300395256917,611.0468426877462,154594.8511999998,1.82344704752336,37824.069600000075,187741.0960000001
USOIL2H,基线,baseline,55,0.2545454545454545,162.5124487171664,8938.184679444152,1.4456210477859992,5432.602351882948,20057.815320555823
USOIL2H,消息面,news_V1_T1h,53,0.24528301886792453,85.0841402464122,4509.459433059847,1.2310346625350577,5432.602351882948,19518.540566940137
USOIL2H,消息面,news_V1_T2h,51,0.23529411764705882,42.59415913823068,2172.3021160497647,1.114075333720473,6021.49370759271,19042.69788395022
USOIL2H,消息面,news_V1_T4h,48,0.25,70.22128438852648,3370.621650649271,1.18888983323826,6021.49370759271,17844.37834935071
USOIL2H,消息面,news_V1_T8h,40,0.275,71.89004624546091,2875.601849818436,1.1930659984259513,5709.7953999085,14894.398150181538
USOIL2H,组合,news_T1h+cd+loss_cd,53,0.24528301886792453,85.0841402464122,4509.459433059847,1.2310346625350577,5432.602351882948,19518.540566940137
USOIL4H,基线,baseline,72,0.18055555555555555,215.51388888888889,15517.0,1.734219740702186,11743.0,21134.0
USOIL4H,消息面,news_V1_T1h,65,0.2,278.89230769230767,18128.0,1.9786751606111321,10911.0,18523.0
USOIL4H,消息面,news_V1_T2h,60,0.2,273.93333333333334,16436.0,1.9700761376379625,10807.0,16943.0
USOIL4H,消息面,news_V1_T4h,49,0.22448979591836735,317.0204081632653,15534.0,2.169376693766938,9680.0,13284.0
USOIL4H,消息面,news_V1_T8h,40,0.275,476.925,19077.0,2.9584231598398523,7301.0,9741.0
USOIL4H,组合,news_T8h+cd+loss_cd,40,0.275,476.925,19077.0,2.9584231598398523,7301.0,9741.0
