trade_key,signal_time,entry_time,dir,mode,stage,entry,stop,stop_distance,exit_time,exit_price,exit_reason,pnl_points
2025.01.31 20:30:00|S|S1,2025-01-31 20:30:00,2025-01-31 20:30:00,S,cross,1,2797.075,2802.819,5.744000000000142,2025-02-02 23:00:00,2802.819,SL hit,-5.744000000000142
2025.01.31 20:30:00|S|S2,2025-01-31 20:30:00,2025-01-31 20:30:00,S,cross,2,2797.075,2802.819,5.744000000000142,2025-02-02 23:00:00,2802.819,trail/SL hit,-5.744000000000142
2025.01.31 20:30:00|S|S3,2025-01-31 20:30:00,2025-01-31 20:30:00,S,cross,3,2797.075,2802.819,5.744000000000142,2025-02-02 23:00:00,2802.819,SL hit,-5.744000000000142
2025.02.07 17:00:00|S|S1,2025-02-07 17:00:00,2025-02-07 17:00:00,S,pre_cross,1,2860.765,2868.388,7.623000000000047,2025-02-09 23:00:00,2868.388,SL hit,-7.623000000000047
2025.02.07 17:00:00|S|S2,2025-02-07 17:00:00,2025-02-07 17:00:00,S,pre_cross,2,2860.765,2868.388,7.623000000000047,2025-02-09 23:00:00,2868.388,trail/SL hit,-7.623000000000047
2025.02.07 17:00:00|S|S3,2025-02-07 17:00:00,2025-02-07 17:00:00,S,pre_cross,3,2860.765,2868.388,7.623000000000047,2025-02-09 23:00:00,2868.388,SL hit,-7.623000000000047
2025.02.07 18:00:00|S|S1,2025-02-07 18:00:00,2025-02-07 18:00:00,S,cross,1,2860.057,2868.388,8.331000000000131,2025-02-09 23:00:00,2868.388,SL hit,-8.331000000000131
2025.02.07 18:00:00|S|S2,2025-02-07 18:00:00,2025-02-07 18:00:00,S,cross,2,2860.057,2868.388,8.331000000000131,2025-02-09 23:00:00,2868.388,trail/SL hit,-8.331000000000131
2025.02.07 18:00:00|S|S3,2025-02-07 18:00:00,2025-02-07 18:00:00,S,cross,3,2860.057,2868.388,8.331000000000131,2025-02-09 23:00:00,2868.388,SL hit,-8.331000000000131
2025.02.11 10:00:00|S|S1,2025-02-11 10:00:00,2025-02-11 10:00:00,S,post_n2,1,2903.226,2913.592,10.365999999999985,2025-02-11 12:30:00,2887.677,1.5R TP,15.548999999999978
2025.02.11 10:00:00|S|S2,2025-02-11 10:00:00,2025-02-11 10:00:00,S,post_n2,2,2903.226,2913.592,10.365999999999985,2025-02-11 16:00:00,2907.11619547158,trail/SL hit,-3.890195471579773
2025.02.11 10:00:00|S|S3,2025-02-11 10:00:00,2025-02-11 10:00:00,S,post_n2,3,2903.226,2913.592,10.365999999999985,2025-02-12 15:30:00,2894.553,M30 merged cross,8.67300000000023
2025.02.11 10:30:00|S|S1,2025-02-11 10:30:00,2025-02-11 10:30:00,S,post_n3,1,2905.396,2912.962,7.5659999999998035,2025-02-11 12:30:00,2894.0470000000005,1.5R TP,11.348999999999705
2025.02.11 10:30:00|S|S2,2025-02-11 10:30:00,2025-02-11 10:30:00,S,post_n3,2,2905.396,2912.962,7.5659999999998035,2025-02-11 15:30:00,2904.621964472486,trail/SL hit,0.7740355275141155
2025.02.11 10:30:00|S|S3,2025-02-11 10:30:00,2025-02-11 10:30:00,S,post_n3,3,2905.396,2912.962,7.5659999999998035,2025-02-12 15:30:00,2894.553,M30 merged cross,10.843000000000302
2025.03.19 09:30:00|S|S1,2025-03-19 09:30:00,2025-03-19 09:30:00,S,cross,1,3028.01,3034.951,6.9409999999998035,2025-03-19 10:00:00,3034.951,SL hit,-6.9409999999998035
2025.03.19 09:30:00|S|S2,2025-03-19 09:30:00,2025-03-19 09:30:00,S,cross,2,3028.01,3034.951,6.9409999999998035,2025-03-19 10:00:00,3034.951,trail/SL hit,-6.9409999999998035
2025.03.19 09:30:00|S|S3,2025-03-19 09:30:00,2025-03-19 09:30:00,S,cross,3,3028.01,3034.951,6.9409999999998035,2025-03-19 10:00:00,3034.951,SL hit,-6.9409999999998035
2025.04.03 06:30:00|S|S1,2025-04-03 06:30:00,2025-04-03 06:30:00,S,cross,1,3122.4,3141.429,19.028999999999996,2025-04-03 10:30:00,3093.8565,1.5R TP,28.543499999999995
2025.04.03 06:30:00|S|S2,2025-04-03 06:30:00,2025-04-03 06:30:00,S,cross,2,3122.4,3141.429,19.028999999999996,2025-04-03 14:00:00,3110.5333266319335,trail/SL hit,11.866673368066586
2025.04.03 06:30:00|S|S3,2025-04-03 06:30:00,2025-04-03 06:30:00,S,cross,3,3122.4,3141.429,19.028999999999996,2025-04-03 22:30:00,3115.387,M30 merged cross,7.01299999999992
2025.04.04 13:00:00|S|S1,2025-04-04 13:00:00,2025-04-04 13:00:00,S,cross,1,3071.176,3103.912,32.735999999999876,2025-04-04 15:30:00,3022.072,1.5R TP,49.103999999999814
2025.04.04 13:00:00|S|S2,2025-04-04 13:00:00,2025-04-04 13:00:00,S,cross,2,3071.176,3103.912,32.735999999999876,2025-04-07 01:30:00,3029.2862765991645,trail/SL hit,41.889723400835464
2025.04.04 13:00:00|S|S3,2025-04-04 13:00:00,2025-04-04 13:00:00,S,cross,3,3071.176,3103.912,32.735999999999876,2025-04-07 11:00:00,3040.126,M30 merged cross,31.049999999999727
2025.04.09 02:30:00|L|S1,2025-04-09 02:30:00,2025-04-09 02:30:00,L,cross,1,3004.655,2988.984,15.671000000000276,2025-04-09 06:00:00,3028.1615000000006,1.5R TP,23.506500000000415
2025.04.09 02:30:00|L|S2,2025-04-09 02:30:00,2025-04-09 02:30:00,L,cross,2,3004.655,2988.984,15.671000000000276,2025-04-09 11:30:00,3067.3390000000013,4.0R forced,62.684000000001106
2025.04.09 02:30:00|L|S3,2025-04-09 02:30:00,2025-04-09 02:30:00,L,cross,3,3004.655,2988.984,15.671000000000276,2025-04-14 09:00:00,3224.492,M30 merged cross,219.837
2025.04.09 03:00:00|L|S1,2025-04-09 03:00:00,2025-04-09 03:00:00,L,post_n2,1,3002.944,2992.535,10.409000000000106,2025-04-09 05:00:00,3018.5575,1.5R TP,15.613500000000158
2025.04.09 03:00:00|L|S2,2025-04-09 03:00:00,2025-04-09 03:00:00,L,post_n2,2,3002.944,2992.535,10.409000000000106,2025-04-09 07:00:00,3044.5800000000004,4.0R forced,41.63600000000042
2025.04.09 03:00:00|L|S3,2025-04-09 03:00:00,2025-04-09 03:00:00,L,post_n2,3,3002.944,2992.535,10.409000000000106,2025-04-14 09:00:00,3224.492,M30 merged cross,221.54800000000023
2025.04.09 03:30:00|L|S1,2025-04-09 03:30:00,2025-04-09 03:30:00,L,post_n3,1,3008.246,2993.744,14.501999999999953,2025-04-09 06:00:00,3029.999,1.5R TP,21.75299999999993
2025.04.09 03:30:00|L|S2,2025-04-09 03:30:00,2025-04-09 03:30:00,L,post_n3,2,3008.246,2993.744,14.501999999999953,2025-04-09 11:30:00,3066.254,4.0R forced,58.00799999999981
2025.04.09 03:30:00|L|S3,2025-04-09 03:30:00,2025-04-09 03:30:00,L,post_n3,3,3008.246,2993.744,14.501999999999953,2025-04-14 09:00:00,3224.492,M30 merged cross,216.2460000000001
2025.04.09 04:00:00|L|S1,2025-04-09 04:00:00,2025-04-09 04:00:00,L,post_n4,1,3004.464,2994.569,9.894999999999982,2025-04-09 05:00:00,3019.3064999999997,1.5R TP,14.842499999999973
2025.04.09 04:00:00|L|S2,2025-04-09 04:00:00,2025-04-09 04:00:00,L,post_n4,2,3004.464,2994.569,9.894999999999982,2025-04-09 07:00:00,3044.044,4.0R forced,39.57999999999993
2025.04.09 04:00:00|L|S3,2025-04-09 04:00:00,2025-04-09 04:00:00,L,post_n4,3,3004.464,2994.569,9.894999999999982,2025-04-14 09:00:00,3224.492,M30 merged cross,220.02800000000025
2025.04.22 13:00:00|S|S1,2025-04-22 13:00:00,2025-04-22 13:00:00,S,cross,1,3431.54,3458.183,26.64300000000003,2025-04-22 16:00:00,3391.5755,1.5R TP,39.964500000000044
2025.04.22 13:00:00|S|S2,2025-04-22 13:00:00,2025-04-22 13:00:00,S,cross,2,3431.54,3458.183,26.64300000000003,2025-04-22 22:00:00,3324.968,4.0R forced,106.57200000000012
2025.04.22 13:00:00|S|S3,2025-04-22 13:00:00,2025-04-22 13:00:00,S,cross,3,3431.54,3458.183,26.64300000000003,2025-04-24 00:00:00,3334.653,M30 merged cross,96.88700000000017
2025.04.22 13:30:00|S|S1,2025-04-22 13:30:00,2025-04-22 13:30:00,S,post_n2,1,3443.658,3453.478,9.820000000000164,2025-04-22 13:30:00,3428.928,1.5R TP,14.730000000000246
2025.04.22 13:30:00|S|S2,2025-04-22 13:30:00,2025-04-22 13:30:00,S,post_n2,2,3443.658,3453.478,9.820000000000164,2025-04-22 16:00:00,3404.3779999999992,4.0R forced,39.280000000000655
2025.04.22 13:30:00|S|S3,2025-04-22 13:30:00,2025-04-22 13:30:00,S,post_n2,3,3443.658,3453.478,9.820000000000164,2025-04-24 00:00:00,3334.653,M30 merged cross,109.00500000000011
2025.04.22 14:00:00|S|S1,2025-04-22 14:00:00,2025-04-22 14:00:00,S,post_n3,1,3418.729,3450.804,32.07500000000027,2025-04-22 19:30:00,3370.616499999999,1.5R TP,48.11250000000041
2025.04.22 14:00:00|S|S2,2025-04-22 14:00:00,2025-04-22 14:00:00,S,post_n3,2,3418.729,3450.804,32.07500000000027,2025-04-23 01:30:00,3383.8588175273867,trail/SL hit,34.87018247261312
