trade_key,signal_time,entry_time,dir,mode,stage,entry,stop,stop_distance,exit_time,exit_price,exit_reason,pnl_points
2025.02.12 18:00:00|L|S1,2025-02-12 18:00:00,2025-02-12 18:00:00,L,post_n5,1,2902.919,2892.934,9.984999999999673,2025-02-13 18:30:00,2922.888999999999,2.0R TP,19.969999999999345
2025.02.12 18:00:00|L|S2,2025-02-12 18:00:00,2025-02-12 18:00:00,L,post_n5,2,2902.919,2892.934,9.984999999999673,2025-02-13 08:30:00,2909.982830571157,trail/SL hit,7.063830571157268
2025.02.12 18:00:00|L|S3,2025-02-12 18:00:00,2025-02-12 18:00:00,L,post_n5,3,2902.919,2892.934,9.984999999999673,2025-02-14 13:30:00,2920.62,M30 merged cross,17.701000000000022
2025.02.12 18:30:00|L|S1,2025-02-12 18:30:00,2025-02-12 18:30:00,L,post_n6,1,2901.908,2893.628,8.279999999999745,2025-02-12 19:00:00,2893.628,SL hit,-8.279999999999745
2025.02.12 18:30:00|L|S2,2025-02-12 18:30:00,2025-02-12 18:30:00,L,post_n6,2,2901.908,2893.628,8.279999999999745,2025-02-12 19:00:00,2893.628,trail/SL hit,-8.279999999999745
2025.02.12 18:30:00|L|S3,2025-02-12 18:30:00,2025-02-12 18:30:00,L,post_n6,3,2901.908,2893.628,8.279999999999745,2025-02-12 19:00:00,2893.628,SL hit,-8.279999999999745
2025.04.15 01:30:00|L|S1,2025-04-15 01:30:00,2025-04-15 01:30:00,L,cross,1,3223.109,3212.802,10.306999999999789,2025-04-15 13:30:00,3212.802,SL hit,-10.306999999999789
2025.04.15 01:30:00|L|S2,2025-04-15 01:30:00,2025-04-15 01:30:00,L,cross,2,3223.109,3212.802,10.306999999999789,2025-04-15 13:00:00,3220.859,M30 merged cross,-2.25
2025.04.15 01:30:00|L|S3,2025-04-15 01:30:00,2025-04-15 01:30:00,L,cross,3,3223.109,3212.802,10.306999999999789,2025-04-15 13:00:00,3220.859,M30 merged cross,-2.25
2025.04.15 02:00:00|L|S1,2025-04-15 02:00:00,2025-04-15 02:00:00,L,post_n2,1,3223.705,3214.369,9.335999999999785,2025-04-15 12:00:00,3214.369,SL hit,-9.335999999999785
2025.04.15 02:00:00|L|S2,2025-04-15 02:00:00,2025-04-15 02:00:00,L,post_n2,2,3223.705,3214.369,9.335999999999785,2025-04-15 12:00:00,3214.369,trail/SL hit,-9.335999999999785
2025.04.15 02:00:00|L|S3,2025-04-15 02:00:00,2025-04-15 02:00:00,L,post_n2,3,3223.705,3214.369,9.335999999999785,2025-04-15 12:00:00,3214.369,SL hit,-9.335999999999785
2025.04.15 02:30:00|L|S1,2025-04-15 02:30:00,2025-04-15 02:30:00,L,post_n3,1,3221.024,3214.879,6.144999999999982,2025-04-15 12:00:00,3214.879,SL hit,-6.144999999999982
2025.04.15 02:30:00|L|S2,2025-04-15 02:30:00,2025-04-15 02:30:00,L,post_n3,2,3221.024,3214.879,6.144999999999982,2025-04-15 07:30:00,3219.502876868306,trail/SL hit,-1.521123131693912
2025.04.15 02:30:00|L|S3,2025-04-15 02:30:00,2025-04-15 02:30:00,L,post_n3,3,3221.024,3214.879,6.144999999999982,2025-04-15 12:00:00,3214.879,SL hit,-6.144999999999982
2025.04.15 03:00:00|L|S1,2025-04-15 03:00:00,2025-04-15 03:00:00,L,post_n4,1,3224.32,3215.607,8.713000000000193,2025-04-15 12:00:00,3215.607,SL hit,-8.713000000000193
2025.04.15 03:00:00|L|S2,2025-04-15 03:00:00,2025-04-15 03:00:00,L,post_n4,2,3224.32,3215.607,8.713000000000193,2025-04-15 12:00:00,3215.607,trail/SL hit,-8.713000000000193
2025.04.15 03:00:00|L|S3,2025-04-15 03:00:00,2025-04-15 03:00:00,L,post_n4,3,3224.32,3215.607,8.713000000000193,2025-04-15 12:00:00,3215.607,SL hit,-8.713000000000193
2025.04.15 03:30:00|L|S1,2025-04-15 03:30:00,2025-04-15 03:30:00,L,post_n5,1,3224.044,3216.255,7.78899999999976,2025-04-15 12:00:00,3216.255,SL hit,-7.78899999999976
2025.04.15 03:30:00|L|S2,2025-04-15 03:30:00,2025-04-15 03:30:00,L,post_n5,2,3224.044,3216.255,7.78899999999976,2025-04-15 12:00:00,3216.255,trail/SL hit,-7.78899999999976
2025.04.15 03:30:00|L|S3,2025-04-15 03:30:00,2025-04-15 03:30:00,L,post_n5,3,3224.044,3216.255,7.78899999999976,2025-04-15 12:00:00,3216.255,SL hit,-7.78899999999976
2025.04.15 04:00:00|L|S1,2025-04-15 04:00:00,2025-04-15 04:00:00,L,post_n6,1,3228.345,3217.182,11.163000000000011,2025-04-15 11:30:00,3217.182,SL hit,-11.163000000000011
2025.04.15 04:00:00|L|S2,2025-04-15 04:00:00,2025-04-15 04:00:00,L,post_n6,2,3228.345,3217.182,11.163000000000011,2025-04-15 11:30:00,3217.182,trail/SL hit,-11.163000000000011
2025.04.15 04:00:00|L|S3,2025-04-15 04:00:00,2025-04-15 04:00:00,L,post_n6,3,3228.345,3217.182,11.163000000000011,2025-04-15 11:30:00,3217.182,SL hit,-11.163000000000011
2025.04.20 22:00:00|L|S1,2025-04-17 21:00:00,2025-04-20 22:00:00,L,cross,1,3331.849,3317.396,14.452999999999975,2025-04-21 00:30:00,3360.755,2.0R TP,28.90599999999995
2025.04.20 22:00:00|L|S2,2025-04-17 21:00:00,2025-04-20 22:00:00,L,cross,2,3331.849,3317.396,14.452999999999975,2025-04-21 06:00:00,3389.661,4.0R forced,57.8119999999999
2025.04.20 22:00:00|L|S3,2025-04-17 21:00:00,2025-04-20 22:00:00,L,cross,3,3331.849,3317.396,14.452999999999975,2025-04-22 12:30:00,3431.593,M30 merged cross,99.74399999999969
2025.04.20 22:30:00|L|S1,2025-04-20 22:30:00,2025-04-20 22:30:00,L,post_n2,1,3343.531,3320.826,22.704999999999927,2025-04-21 06:00:00,3388.941,2.0R TP,45.409999999999854
2025.04.20 22:30:00|L|S2,2025-04-20 22:30:00,2025-04-20 22:30:00,L,post_n2,2,3343.531,3320.826,22.704999999999927,2025-04-21 22:00:00,3434.3509999999997,4.0R forced,90.81999999999971
2025.04.20 22:30:00|L|S3,2025-04-20 22:30:00,2025-04-20 22:30:00,L,post_n2,3,3343.531,3320.826,22.704999999999927,2025-04-22 12:30:00,3431.593,M30 merged cross,88.0619999999999
2025.04.20 23:00:00|L|S1,2025-04-20 23:00:00,2025-04-20 23:00:00,L,post_n3,1,3345.971,3322.757,23.213999999999942,2025-04-21 06:30:00,3392.399,2.0R TP,46.427999999999884
2025.04.20 23:00:00|L|S2,2025-04-20 23:00:00,2025-04-20 23:00:00,L,post_n3,2,3345.971,3322.757,23.213999999999942,2025-04-21 23:00:00,3438.8269999999998,4.0R forced,92.85599999999977
2025.04.20 23:00:00|L|S3,2025-04-20 23:00:00,2025-04-20 23:00:00,L,post_n3,3,3345.971,3322.757,23.213999999999942,2025-04-22 12:30:00,3431.593,M30 merged cross,85.62199999999984
2025.04.20 23:30:00|L|S1,2025-04-20 23:30:00,2025-04-20 23:30:00,L,post_n4,1,3348.655,3324.75,23.9050000000002,2025-04-21 09:00:00,3396.4650000000006,2.0R TP,47.8100000000004
2025.04.20 23:30:00|L|S2,2025-04-20 23:30:00,2025-04-20 23:30:00,L,post_n4,2,3348.655,3324.75,23.9050000000002,2025-04-22 00:00:00,3417.822166492719,trail/SL hit,69.16716649271893
2025.04.20 23:30:00|L|S3,2025-04-20 23:30:00,2025-04-20 23:30:00,L,post_n4,3,3348.655,3324.75,23.9050000000002,2025-04-22 12:30:00,3431.593,M30 merged cross,82.93799999999965
2025.04.21 00:00:00|L|S1,2025-04-21 00:00:00,2025-04-21 00:00:00,L,post_n5,1,3348.119,3326.544,21.575000000000273,2025-04-21 06:30:00,3391.2690000000007,2.0R TP,43.150000000000546
2025.04.21 00:00:00|L|S2,2025-04-21 00:00:00,2025-04-21 00:00:00,L,post_n5,2,3348.119,3326.544,21.575000000000273,2025-04-21 22:00:00,3434.4190000000012,4.0R forced,86.30000000000109
2025.04.21 00:00:00|L|S3,2025-04-21 00:00:00,2025-04-21 00:00:00,L,post_n5,3,3348.119,3326.544,21.575000000000273,2025-04-22 12:30:00,3431.593,M30 merged cross,83.4739999999997
2025.04.21 00:30:00|L|S1,2025-04-21 00:30:00,2025-04-21 00:30:00,L,post_n6,1,3355.525,3328.774,26.751000000000204,2025-04-21 12:30:00,3409.0270000000005,2.0R TP,53.50200000000041
2025.04.21 00:30:00|L|S2,2025-04-21 00:30:00,2025-04-21 00:30:00,L,post_n6,2,3355.525,3328.774,26.751000000000204,2025-04-22 00:00:00,3417.822166492719,trail/SL hit,62.29716649271904
2025.04.21 00:30:00|L|S3,2025-04-21 00:30:00,2025-04-21 00:30:00,L,post_n6,3,3355.525,3328.774,26.751000000000204,2025-04-22 12:30:00,3431.593,M30 merged cross,76.06799999999976
2025.04.27 22:30:00|L|S1,2025-04-27 22:30:00,2025-04-27 22:30:00,L,post_n2,1,3317.522,3299.914,17.60799999999972,2025-04-27 23:30:00,3299.914,SL hit,-17.60799999999972
2025.04.27 22:30:00|L|S2,2025-04-27 22:30:00,2025-04-27 22:30:00,L,post_n2,2,3317.522,3299.914,17.60799999999972,2025-04-27 23:30:00,3299.914,trail/SL hit,-17.60799999999972
2025.04.27 22:30:00|L|S3,2025-04-27 22:30:00,2025-04-27 22:30:00,L,post_n2,3,3317.522,3299.914,17.60799999999972,2025-04-27 23:30:00,3299.914,SL hit,-17.60799999999972
2025.04.27 23:00:00|L|S1,2025-04-27 23:00:00,2025-04-27 23:00:00,L,post_n3,1,3310.708,3300.744,9.963999999999942,2025-04-27 23:00:00,3300.744,SL hit,-9.963999999999942
2025.04.27 23:00:00|L|S2,2025-04-27 23:00:00,2025-04-27 23:00:00,L,post_n3,2,3310.708,3300.744,9.963999999999942,2025-04-27 23:00:00,3300.744,trail/SL hit,-9.963999999999942
2025.04.27 23:00:00|L|S3,2025-04-27 23:00:00,2025-04-27 23:00:00,L,post_n3,3,3310.708,3300.744,9.963999999999942,2025-04-27 23:00:00,3300.744,SL hit,-9.963999999999942
2025.04.27 23:30:00|L|S1,2025-04-27 23:30:00,2025-04-27 23:30:00,L,post_n4,1,3308.065,3301.309,6.755999999999858,2025-04-27 23:30:00,3301.309,SL hit,-6.755999999999858
2025.04.27 23:30:00|L|S2,2025-04-27 23:30:00,2025-04-27 23:30:00,L,post_n4,2,3308.065,3301.309,6.755999999999858,2025-04-27 23:30:00,3301.309,trail/SL hit,-6.755999999999858
2025.04.27 23:30:00|L|S3,2025-04-27 23:30:00,2025-04-27 23:30:00,L,post_n4,3,3308.065,3301.309,6.755999999999858,2025-04-27 23:30:00,3301.309,SL hit,-6.755999999999858
2025.09.10 05:30:00|L|S1,2025-09-10 05:30:00,2025-09-10 05:30:00,L,cross,1,3644.202,3635.606,8.596000000000004,2025-09-10 19:30:00,3635.606,SL hit,-8.596000000000004
2025.09.10 05:30:00|L|S2,2025-09-10 05:30:00,2025-09-10 05:30:00,L,cross,2,3644.202,3635.606,8.596000000000004,2025-09-10 12:30:00,3643.732617066121,trail/SL hit,-0.46938293387938756
2025.09.10 05:30:00|L|S3,2025-09-10 05:30:00,2025-09-10 05:30:00,L,cross,3,3644.202,3635.606,8.596000000000004,2025-09-10 17:00:00,3642.459,M30 merged cross,-1.743000000000393
2025.09.10 06:00:00|L|S1,2025-09-10 06:00:00,2025-09-10 06:00:00,L,post_n2,1,3642.953,3637.643,5.309999999999945,2025-09-10 09:30:00,3653.573,2.0R TP,10.61999999999989
2025.09.10 06:00:00|L|S2,2025-09-10 06:00:00,2025-09-10 06:00:00,L,post_n2,2,3642.953,3637.643,5.309999999999945,2025-09-10 12:30:00,3644.945555369949,trail/SL hit,1.9925553699490592
2025.09.10 06:00:00|L|S3,2025-09-10 06:00:00,2025-09-10 06:00:00,L,post_n2,3,3642.953,3637.643,5.309999999999945,2025-09-10 17:00:00,3642.459,M30 merged cross,-0.4940000000001419
2025.09.10 06:30:00|L|S1,2025-09-10 06:30:00,2025-09-10 06:30:00,L,post_n3,1,3643.894,3638.125,5.768999999999778,2025-09-10 09:30:00,3655.4319999999993,2.0R TP,11.537999999999556
2025.09.10 06:30:00|L|S2,2025-09-10 06:30:00,2025-09-10 06:30:00,L,post_n3,2,3643.894,3638.125,5.768999999999778,2025-09-10 12:30:00,3644.945555369949,trail/SL hit,1.0515553699492557
2025.09.10 06:30:00|L|S3,2025-09-10 06:30:00,2025-09-10 06:30:00,L,post_n3,3,3643.894,3638.125,5.768999999999778,2025-09-10 17:00:00,3642.459,M30 merged cross,-1.4349999999999454
2025.09.10 07:00:00|L|S1,2025-09-10 07:00:00,2025-09-10 07:00:00,L,post_n4,1,3643.675,3638.549,5.126000000000204,2025-09-10 09:30:00,3653.9270000000006,2.0R TP,10.252000000000407
2025.09.10 07:00:00|L|S2,2025-09-10 07:00:00,2025-09-10 07:00:00,L,post_n4,2,3643.675,3638.549,5.126000000000204,2025-09-10 12:30:00,3644.945555369949,trail/SL hit,1.2705553699488519
2025.09.10 07:00:00|L|S3,2025-09-10 07:00:00,2025-09-10 07:00:00,L,post_n4,3,3643.675,3638.549,5.126000000000204,2025-09-10 15:00:00,3638.549,SL hit,-5.126000000000204
2025.09.15 13:00:00|L|S1,2025-09-15 13:00:00,2025-09-15 13:00:00,L,cross,1,3650.226,3642.144,8.082000000000335,2025-09-15 15:00:00,3666.390000000001,2.0R TP,16.16400000000067
2025.09.15 13:00:00|L|S2,2025-09-15 13:00:00,2025-09-15 13:00:00,L,cross,2,3650.226,3642.144,8.082000000000335,2025-09-15 16:00:00,3682.5540000000015,4.0R forced,32.32800000000134
2025.09.15 13:00:00|L|S3,2025-09-15 13:00:00,2025-09-15 13:00:00,L,cross,3,3650.226,3642.144,8.082000000000335,2025-09-17 01:30:00,3679.426,M30 merged cross,29.199999999999818
2025.09.15 13:30:00|L|S1,2025-09-15 13:30:00,2025-09-15 13:30:00,L,post_n2,1,3653.733,3643.609,10.124000000000251,2025-09-15 15:30:00,3673.9810000000007,2.0R TP,20.248000000000502
2025.09.15 13:30:00|L|S2,2025-09-15 13:30:00,2025-09-15 13:30:00,L,post_n2,2,3653.733,3643.609,10.124000000000251,2025-09-16 08:00:00,3694.229000000001,4.0R forced,40.496000000001004
2025.09.15 13:30:00|L|S3,2025-09-15 13:30:00,2025-09-15 13:30:00,L,post_n2,3,3653.733,3643.609,10.124000000000251,2025-09-17 01:30:00,3679.426,M30 merged cross,25.692999999999756
2025.09.15 14:00:00|L|S1,2025-09-15 14:00:00,2025-09-15 14:00:00,L,post_n3,1,3657.147,3644.653,12.494000000000142,2025-09-15 16:00:00,3682.135,2.0R TP,24.988000000000284
2025.09.15 14:00:00|L|S2,2025-09-15 14:00:00,2025-09-15 14:00:00,L,post_n3,2,3657.147,3644.653,12.494000000000142,2025-09-16 12:30:00,3687.902619150115,trail/SL hit,30.755619150114853
2025.09.15 14:00:00|L|S3,2025-09-15 14:00:00,2025-09-15 14:00:00,L,post_n3,3,3657.147,3644.653,12.494000000000142,2025-09-17 01:30:00,3679.426,M30 merged cross,22.278999999999996
2025.09.15 14:30:00|L|S1,2025-09-15 14:30:00,2025-09-15 14:30:00,L,post_n4,1,3657.789,3645.66,12.12900000000036,2025-09-15 16:00:00,3682.047000000001,2.0R TP,24.25800000000072
2025.09.15 14:30:00|L|S2,2025-09-15 14:30:00,2025-09-15 14:30:00,L,post_n4,2,3657.789,3645.66,12.12900000000036,2025-09-16 12:30:00,3687.902619150115,trail/SL hit,30.113619150114573
2025.09.15 14:30:00|L|S3,2025-09-15 14:30:00,2025-09-15 14:30:00,L,post_n4,3,3657.789,3645.66,12.12900000000036,2025-09-17 01:30:00,3679.426,M30 merged cross,21.636999999999716
