trade_key_x,signal_time_x,entry_time_x,dir_x,mode_x,stage_x,entry,stop,stop_distance,exit_time_x,exit_price,exit_reason,pnl_points,_key,signal_time_y,entry_time_y,dir_y,mode_y,stage_y,open_time,ea_entry,ea_stop,exit_time_y,ea_exit,ea_reason,ea_pnl,pnl_usd,virtual_balance,trade_key_y,_merge,diff_entry,diff_stop,diff_exit_price,diff_pnl_points
2025.01.06 12:30:00|L|S1,2025-01-06 12:30:00,2025-01-06 12:30:00,L,cross,1.0,2642.394,2635.977,6.416999999999916,2025-01-06 13:30:00,2635.977,SL hit,-6.416999999999916,2025.01.06 12:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.01.06 12:30:00|L|S2,2025-01-06 12:30:00,2025-01-06 12:30:00,L,cross,2.0,2642.394,2635.977,6.416999999999916,2025-01-06 13:30:00,2635.977,trail/SL hit,-6.416999999999916,2025.01.06 12:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.01.06 12:30:00|L|S3,2025-01-06 12:30:00,2025-01-06 12:30:00,L,cross,3.0,2642.394,2635.977,6.416999999999916,2025-01-06 13:30:00,2635.977,SL hit,-6.416999999999916,2025.01.06 12:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
,,,,,,,,,,,,,2025.01.06 13:00:00|BUY|S2,2025.01.06 12:00,2025.01.06 13:00,BUY,cross,2.0,2025.01.06 13:00,2645.366,2635.97685,2025.01.06 13:00,2642.353,M30 merged cross,-3.013,-3.013,496.987,2025.01.06 13:00:00|BUY|S2,right_only,,,,
,,,,,,,,,,,,,2025.01.06 13:00:00|BUY|S3,2025.01.06 12:00,2025.01.06 13:00,BUY,cross,3.0,2025.01.06 13:00,2645.366,2635.97685,2025.01.06 13:00,2642.353,M30 merged cross,-3.013,-4.5195,492.4675,2025.01.06 13:00:00|BUY|S3,right_only,,,,
2025.01.20 06:00:00|L|S1,2025-01-20 06:00:00,2025-01-20 06:00:00,L,cross,1.0,2707.341,2701.519,5.822000000000116,2025-01-21 01:30:00,2718.985,2.0R TP,11.644000000000233,2025.01.20 06:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.01.20 06:00:00|L|S2,2025-01-20 06:00:00,2025-01-20 06:00:00,L,cross,2.0,2707.341,2701.519,5.822000000000116,2025-01-21 07:30:00,2730.6290000000004,4.0R forced,23.288000000000466,2025.01.20 06:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.01.20 06:00:00|L|S3,2025-01-20 06:00:00,2025-01-20 06:00:00,L,cross,3.0,2707.341,2701.519,5.822000000000116,2025-01-23 01:00:00,2753.833,M30 merged cross,46.49200000000019,2025.01.20 06:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
,,,,,,,,,,,,,2025.01.20 06:30:00|BUY|S2,2025.01.20 05:30,2025.01.20 06:30,BUY,cross,2.0,2025.01.20 06:30,2709.019,2701.51854,2025.01.20 06:30,2711.609,M30 merged cross,2.59,2.59,495.0575,2025.01.20 06:30:00|BUY|S2,right_only,,,,
,,,,,,,,,,,,,2025.01.20 06:30:00|BUY|S3,2025.01.20 05:30,2025.01.20 06:30,BUY,cross,3.0,2025.01.20 06:30,2709.019,2701.51854,2025.01.20 06:30,2711.609,M30 merged cross,2.59,3.885,498.9425,2025.01.20 06:30:00|BUY|S3,right_only,,,,
2025.01.20 06:30:00|L|S1,2025-01-20 06:30:00,2025-01-20 06:30:00,L,post_n2,1.0,2709.019,2703.253,5.765999999999622,2025-01-20 07:30:00,2703.253,SL hit,-5.765999999999622,2025.01.20 06:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.01.20 06:30:00|L|S2,2025-01-20 06:30:00,2025-01-20 06:30:00,L,post_n2,2.0,2709.019,2703.253,5.765999999999622,2025-01-20 07:30:00,2703.253,trail/SL hit,-5.765999999999622,2025.01.20 06:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.01.20 06:30:00|L|S3,2025-01-20 06:30:00,2025-01-20 06:30:00,L,post_n2,3.0,2709.019,2703.253,5.765999999999622,2025-01-20 07:30:00,2703.253,SL hit,-5.765999999999622,2025.01.20 06:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.01.20 07:00:00|L|S1,2025-01-20 07:00:00,2025-01-20 07:00:00,L,post_n3,1.0,2711.607,2703.896,7.710999999999785,2025-01-20 07:30:00,2703.896,SL hit,-7.710999999999785,2025.01.20 07:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.01.20 07:00:00|L|S2,2025-01-20 07:00:00,2025-01-20 07:00:00,L,post_n3,2.0,2711.607,2703.896,7.710999999999785,2025-01-20 07:30:00,2703.896,trail/SL hit,-7.710999999999785,2025.01.20 07:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.01.20 07:00:00|L|S3,2025-01-20 07:00:00,2025-01-20 07:00:00,L,post_n3,3.0,2711.607,2703.896,7.710999999999785,2025-01-20 07:30:00,2703.896,SL hit,-7.710999999999785,2025.01.20 07:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 17:30:00|L|S1,2025-01-23 17:30:00,2025-01-23 17:30:00,L,cross,1.0,2755.114,2748.342,6.771999999999935,2025-01-24 02:00:00,2768.658,2.0R TP,13.543999999999867,2025.01.23 17:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 17:30:00|L|S2,2025-01-23 17:30:00,2025-01-23 17:30:00,L,cross,2.0,2755.114,2748.342,6.771999999999935,2025-01-24 13:00:00,2782.202,4.0R forced,27.087999999999735,2025.01.23 17:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 17:30:00|L|S3,2025-01-23 17:30:00,2025-01-23 17:30:00,L,cross,3.0,2755.114,2748.342,6.771999999999935,2025-01-24 20:30:00,2771.113,M30 merged cross,15.998999999999796,2025.01.23 17:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
,,,,,,,,,,,,,2025.01.23 18:00:00|BUY|S2,2025.01.23 17:00,2025.01.23 18:00,BUY,cross,2.0,2025.01.23 18:00,2757.747,2748.34203,2025.01.23 18:00,2756.983,M30 merged cross,-0.764,-0.764,498.1785,2025.01.23 18:00:00|BUY|S2,right_only,,,,
,,,,,,,,,,,,,2025.01.23 18:00:00|BUY|S3,2025.01.23 17:00,2025.01.23 18:00,BUY,cross,3.0,2025.01.23 18:00,2757.747,2748.34203,2025.01.23 18:00,2756.983,M30 merged cross,-0.764,-1.146,497.0325,2025.01.23 18:00:00|BUY|S3,right_only,,,,
2025.01.23 18:00:00|L|S1,2025-01-23 18:00:00,2025-01-23 18:00:00,L,post_n2,1.0,2757.747,2750.06,7.686999999999898,2025-01-24 02:30:00,2773.121,2.0R TP,15.373999999999796,2025.01.23 18:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
