combo,variant,desc,n,wr,pf,ev,pnl,max_loss_streak,train_n,test_n,test_pf,test_ev,split_date
2H_M30_6H,2H_M30_6H__6h_bias5_13_55_signed_pos,6H Bias_5+13+55 signed > 0,286,32.16783216783217,2.0398915909826427,7.651031468531466,2188.1949999999993,14,200,86,2.1045326314564914,14.131441860465117,2025-10-09
2H_M30_6H,2H_M30_6H__stack_core,30M close同侧 + 2H Bias_13 signed > 0 + 6H Bias_55 signed top30%,243,33.744855967078195,1.969404490624368,8.457423868312759,2055.1540000000005,13,170,73,2.0904071289601998,15.546890410958904,2025-12-04
2H_M30_6H,2H_M30_6H__6h_bias5_13_signed_pos,6H Bias_5+13 signed > 0,362,30.662983425414364,1.780772808594463,6.01209944751381,2176.379999999999,12,253,109,1.6268954482990345,8.76377981651376,2025-10-28
2H_M30_6H,2H_M30_6H__6h_bias55_signed_top30,6H Bias_55 signed top30%,354,34.18079096045198,1.7716081545047693,6.726932203389833,2381.3340000000007,14,247,107,1.9017239503284689,12.392046728971966,2025-12-11
2H_M30_6H,2H_M30_6H__6h_bias5_signed_top30,6H Bias_5 signed top30%,359,31.197771587743734,1.7661696022786768,6.114033426183842,2194.937999999999,12,251,108,1.771197040265673,10.72747222222222,2025-10-31
2H_M30_6H,2H_M30_6H__6h_bias5_signed_pos,6H Bias_5 signed > 0,424,31.839622641509436,1.752658293079683,5.718143867924524,2424.492999999998,13,296,128,1.75094073045484,10.397554687500001,2025-10-09
2H_M30_6H,2H_M30_6H__all_dir_align,全组合方向同向,349,31.51862464183381,1.7139638387484055,5.4459197707736395,1900.6260000000002,11,244,105,1.5924785423776682,8.071780952380953,2025-10-14
2H_M30_6H,2H_M30_6H__2h_dir_align,2H 方向同向,461,30.585683297180044,1.6401779739613296,4.968117136659437,2290.3020000000006,16,322,139,1.6528143518435132,9.126086330935253,2025-10-14
2H_M30_6H,2H_M30_6H__30m_bias55_signed_top30,30M Bias_55 signed top30%,359,33.147632311977716,1.6363175899359965,6.424857938718663,2306.524,14,251,108,1.6408944988495229,11.56432407407408,2025-12-30
2H_M30_6H,2H_M30_6H__6h_close_side,6H close位于SMA13交易方向一侧,506,31.818181818181817,1.6201704145345288,5.012584980237153,2536.3679999999995,13,354,152,1.3769040634878327,5.618868421052633,2025-10-28
2H_M30_6H,2H_M30_6H__6h_bias13_signed_pos,6H Bias_13 signed > 0,506,31.818181818181817,1.6201704145345288,5.012584980237153,2536.3679999999995,13,354,152,1.3769040634878327,5.618868421052633,2025-10-28
2H_M30_6H,2H_M30_6H__2h_recent2_any,2H 最近2根至少1根同向_对照,470,30.21276595744681,1.5995261483733938,4.680234042553192,2199.71,16,329,141,1.6220653423912414,8.735390070921987,2025-10-14
