trade_key,signal_time,entry_time,dir,mode,stage,entry,stop,stop_distance,exit_time,exit_price,exit_reason,pnl_points
2025.04.13 22:30:00|S|S1,2025-04-13 22:30:00,2025-04-13 22:30:00,S,pre_cross,1,3219.128,3226.528,7.399999999999636,2025-04-14 00:00:00,3226.528,SL hit,-7.399999999999636
2025.04.13 22:30:00|S|S2,2025-04-13 22:30:00,2025-04-13 22:30:00,S,pre_cross,2,3219.128,3226.528,7.399999999999636,2025-04-14 00:00:00,3226.528,trail/SL hit,-7.399999999999636
2025.04.13 22:30:00|S|S3,2025-04-13 22:30:00,2025-04-13 22:30:00,S,pre_cross,3,3219.128,3226.528,7.399999999999636,2025-04-14 00:00:00,3226.528,SL hit,-7.399999999999636
2025.04.15 02:00:00|L|S1,2025-04-15 02:00:00,2025-04-15 02:00:00,L,post_n2,1,3223.705,3214.369,9.335999999999785,2025-04-15 12:00:00,3214.369,SL hit,-9.335999999999785
2025.04.15 02:00:00|L|S2,2025-04-15 02:00:00,2025-04-15 02:00:00,L,post_n2,2,3223.705,3214.369,9.335999999999785,2025-04-15 12:00:00,3214.369,trail/SL hit,-9.335999999999785
2025.04.15 02:00:00|L|S3,2025-04-15 02:00:00,2025-04-15 02:00:00,L,post_n2,3,3223.705,3214.369,9.335999999999785,2025-04-15 12:00:00,3214.369,SL hit,-9.335999999999785
2025.04.15 02:30:00|L|S1,2025-04-15 02:30:00,2025-04-15 02:30:00,L,post_n3,1,3221.024,3214.879,6.144999999999982,2025-04-15 12:00:00,3214.879,SL hit,-6.144999999999982
2025.04.15 02:30:00|L|S2,2025-04-15 02:30:00,2025-04-15 02:30:00,L,post_n3,2,3221.024,3214.879,6.144999999999982,2025-04-15 07:30:00,3219.502876868306,trail/SL hit,-1.521123131693912
2025.04.15 02:30:00|L|S3,2025-04-15 02:30:00,2025-04-15 02:30:00,L,post_n3,3,3221.024,3214.879,6.144999999999982,2025-04-15 12:00:00,3214.879,SL hit,-6.144999999999982
2025.04.15 03:00:00|L|S1,2025-04-15 03:00:00,2025-04-15 03:00:00,L,post_n4,1,3224.32,3215.607,8.713000000000193,2025-04-15 12:00:00,3215.607,SL hit,-8.713000000000193
2025.04.15 03:00:00|L|S2,2025-04-15 03:00:00,2025-04-15 03:00:00,L,post_n4,2,3224.32,3215.607,8.713000000000193,2025-04-15 12:00:00,3215.607,trail/SL hit,-8.713000000000193
2025.04.15 03:00:00|L|S3,2025-04-15 03:00:00,2025-04-15 03:00:00,L,post_n4,3,3224.32,3215.607,8.713000000000193,2025-04-15 12:00:00,3215.607,SL hit,-8.713000000000193
2025.04.15 03:30:00|L|S1,2025-04-15 03:30:00,2025-04-15 03:30:00,L,post_n5,1,3224.044,3216.255,7.78899999999976,2025-04-15 12:00:00,3216.255,SL hit,-7.78899999999976
2025.04.15 03:30:00|L|S2,2025-04-15 03:30:00,2025-04-15 03:30:00,L,post_n5,2,3224.044,3216.255,7.78899999999976,2025-04-15 12:00:00,3216.255,trail/SL hit,-7.78899999999976
2025.04.15 03:30:00|L|S3,2025-04-15 03:30:00,2025-04-15 03:30:00,L,post_n5,3,3224.044,3216.255,7.78899999999976,2025-04-15 12:00:00,3216.255,SL hit,-7.78899999999976
2025.04.15 04:00:00|L|S1,2025-04-15 04:00:00,2025-04-15 04:00:00,L,post_n6,1,3228.345,3217.182,11.163000000000011,2025-04-15 11:30:00,3217.182,SL hit,-11.163000000000011
2025.04.15 04:00:00|L|S2,2025-04-15 04:00:00,2025-04-15 04:00:00,L,post_n6,2,3228.345,3217.182,11.163000000000011,2025-04-15 11:30:00,3217.182,trail/SL hit,-11.163000000000011
2025.04.15 04:00:00|L|S3,2025-04-15 04:00:00,2025-04-15 04:00:00,L,post_n6,3,3228.345,3217.182,11.163000000000011,2025-04-15 11:30:00,3217.182,SL hit,-11.163000000000011
2025.04.20 22:30:00|L|S1,2025-04-20 22:30:00,2025-04-20 22:30:00,L,post_n2,1,3343.531,3320.826,22.704999999999927,2025-04-21 06:00:00,3388.941,2.0R TP,45.409999999999854
2025.04.20 22:30:00|L|S2,2025-04-20 22:30:00,2025-04-20 22:30:00,L,post_n2,2,3343.531,3320.826,22.704999999999927,2025-04-21 22:00:00,3434.3509999999997,4.0R forced,90.81999999999971
2025.04.20 22:30:00|L|S3,2025-04-20 22:30:00,2025-04-20 22:30:00,L,post_n2,3,3343.531,3320.826,22.704999999999927,2025-04-22 12:30:00,3431.593,M30 merged cross,88.0619999999999
2025.04.20 23:00:00|L|S1,2025-04-20 23:00:00,2025-04-20 23:00:00,L,post_n3,1,3345.971,3322.757,23.213999999999942,2025-04-21 06:30:00,3392.399,2.0R TP,46.427999999999884
2025.04.20 23:00:00|L|S2,2025-04-20 23:00:00,2025-04-20 23:00:00,L,post_n3,2,3345.971,3322.757,23.213999999999942,2025-04-21 23:00:00,3438.8269999999998,4.0R forced,92.85599999999977
2025.04.20 23:00:00|L|S3,2025-04-20 23:00:00,2025-04-20 23:00:00,L,post_n3,3,3345.971,3322.757,23.213999999999942,2025-04-22 12:30:00,3431.593,M30 merged cross,85.62199999999984
2025.04.20 23:30:00|L|S1,2025-04-20 23:30:00,2025-04-20 23:30:00,L,post_n4,1,3348.655,3324.75,23.9050000000002,2025-04-21 09:00:00,3396.4650000000006,2.0R TP,47.8100000000004
2025.04.20 23:30:00|L|S2,2025-04-20 23:30:00,2025-04-20 23:30:00,L,post_n4,2,3348.655,3324.75,23.9050000000002,2025-04-22 00:00:00,3417.822166492719,trail/SL hit,69.16716649271893
2025.04.20 23:30:00|L|S3,2025-04-20 23:30:00,2025-04-20 23:30:00,L,post_n4,3,3348.655,3324.75,23.9050000000002,2025-04-22 12:30:00,3431.593,M30 merged cross,82.93799999999965
2025.04.21 00:00:00|L|S1,2025-04-21 00:00:00,2025-04-21 00:00:00,L,post_n5,1,3348.119,3326.544,21.575000000000273,2025-04-21 06:30:00,3391.2690000000007,2.0R TP,43.150000000000546
2025.04.21 00:00:00|L|S2,2025-04-21 00:00:00,2025-04-21 00:00:00,L,post_n5,2,3348.119,3326.544,21.575000000000273,2025-04-21 22:00:00,3434.4190000000012,4.0R forced,86.30000000000109
2025.04.21 00:00:00|L|S3,2025-04-21 00:00:00,2025-04-21 00:00:00,L,post_n5,3,3348.119,3326.544,21.575000000000273,2025-04-22 12:30:00,3431.593,M30 merged cross,83.4739999999997
2025.04.21 00:30:00|L|S1,2025-04-21 00:30:00,2025-04-21 00:30:00,L,post_n6,1,3355.525,3328.774,26.751000000000204,2025-04-21 12:30:00,3409.0270000000005,2.0R TP,53.50200000000041
2025.04.21 00:30:00|L|S2,2025-04-21 00:30:00,2025-04-21 00:30:00,L,post_n6,2,3355.525,3328.774,26.751000000000204,2025-04-22 00:00:00,3417.822166492719,trail/SL hit,62.29716649271904
2025.04.21 00:30:00|L|S3,2025-04-21 00:30:00,2025-04-21 00:30:00,L,post_n6,3,3355.525,3328.774,26.751000000000204,2025-04-22 12:30:00,3431.593,M30 merged cross,76.06799999999976
2025.04.22 09:00:00|S|S1,2025-04-22 09:00:00,2025-04-22 09:00:00,S,pre_cross,1,3444.043,3458.183,14.139999999999873,2025-04-22 09:00:00,3458.183,SL hit,-14.139999999999873
2025.04.22 09:00:00|S|S2,2025-04-22 09:00:00,2025-04-22 09:00:00,S,pre_cross,2,3444.043,3458.183,14.139999999999873,2025-04-22 09:00:00,3458.183,trail/SL hit,-14.139999999999873
2025.04.22 09:00:00|S|S3,2025-04-22 09:00:00,2025-04-22 09:00:00,S,pre_cross,3,3444.043,3458.183,14.139999999999873,2025-04-22 09:00:00,3458.183,SL hit,-14.139999999999873
2025.09.02 16:00:00|L|S1,2025-09-02 16:00:00,2025-09-02 16:00:00,L,post_n5,1,3520.327,3491.575,28.752000000000407,2025-09-03 18:00:00,3577.831000000001,2.0R TP,57.504000000000815
2025.09.02 16:00:00|L|S2,2025-09-02 16:00:00,2025-09-02 16:00:00,L,post_n5,2,3520.327,3491.575,28.752000000000407,2025-09-03 23:00:00,3558.576796462112,trail/SL hit,38.24979646211159
2025.09.02 16:00:00|L|S3,2025-09-02 16:00:00,2025-09-02 16:00:00,L,post_n5,3,3520.327,3491.575,28.752000000000407,2025-09-04 01:30:00,3546.202,M30 merged cross,25.875
2025.09.02 16:30:00|L|S1,2025-09-02 16:30:00,2025-09-02 16:30:00,L,post_n6,1,3524.765,3494.13,30.634999999999764,2025-09-05 12:30:00,3586.0349999999994,2.0R TP,61.26999999999953
2025.09.02 16:30:00|L|S2,2025-09-02 16:30:00,2025-09-02 16:30:00,L,post_n6,2,3524.765,3494.13,30.634999999999764,2025-09-03 23:00:00,3556.642850412354,trail/SL hit,31.87785041235429
2025.09.02 16:30:00|L|S3,2025-09-02 16:30:00,2025-09-02 16:30:00,L,post_n6,3,3524.765,3494.13,30.634999999999764,2025-09-04 01:30:00,3546.202,M30 merged cross,21.437000000000353
2025.10.07 12:00:00|L|S1,2025-10-07 12:00:00,2025-10-07 12:00:00,L,cross,1,3966.955,3958.087,8.867999999999938,2025-10-07 13:00:00,3984.691,2.0R TP,17.735999999999876
2025.10.07 12:00:00|L|S2,2025-10-07 12:00:00,2025-10-07 12:00:00,L,cross,2,3966.955,3958.087,8.867999999999938,2025-10-07 15:30:00,3967.990877905872,trail/SL hit,1.0358779058719847
2025.10.07 12:00:00|L|S3,2025-10-07 12:00:00,2025-10-07 12:00:00,L,cross,3,3966.955,3958.087,8.867999999999938,2025-10-08 22:30:00,4021.407,M30 merged cross,54.452000000000226
2025.10.09 06:00:00|L|S1,2025-10-09 06:00:00,2025-10-09 06:00:00,L,post_n2,1,4039.811,4031.766,8.045000000000073,2025-10-09 06:00:00,4031.766,SL hit,-8.045000000000073
2025.10.09 06:00:00|L|S2,2025-10-09 06:00:00,2025-10-09 06:00:00,L,post_n2,2,4039.811,4031.766,8.045000000000073,2025-10-09 06:00:00,4031.766,trail/SL hit,-8.045000000000073
2025.10.09 06:00:00|L|S3,2025-10-09 06:00:00,2025-10-09 06:00:00,L,post_n2,3,4039.811,4031.766,8.045000000000073,2025-10-09 06:00:00,4031.766,SL hit,-8.045000000000073
2025.10.09 07:00:00|S|S1,2025-10-09 07:00:00,2025-10-09 07:00:00,S,cross,1,4026.1,4031.766,5.666000000000167,2025-10-09 07:00:00,4031.766,SL hit,-5.666000000000167
2025.10.09 07:00:00|S|S2,2025-10-09 07:00:00,2025-10-09 07:00:00,S,cross,2,4026.1,4031.766,5.666000000000167,2025-10-09 07:00:00,4031.766,trail/SL hit,-5.666000000000167
2025.10.09 07:00:00|S|S3,2025-10-09 07:00:00,2025-10-09 07:00:00,S,cross,3,4026.1,4031.766,5.666000000000167,2025-10-09 07:00:00,4031.766,SL hit,-5.666000000000167
2025.10.14 16:00:00|L|S1,2025-10-14 16:00:00,2025-10-14 16:00:00,L,cross,1,4138.03,4127.017,11.01299999999992,2025-10-14 22:00:00,4160.056,2.0R TP,22.02599999999984
2025.10.14 16:00:00|L|S2,2025-10-14 16:00:00,2025-10-14 16:00:00,L,cross,2,4138.03,4127.017,11.01299999999992,2025-10-15 01:00:00,4182.081999999999,4.0R forced,44.05199999999968
2025.10.14 16:00:00|L|S3,2025-10-14 16:00:00,2025-10-14 16:00:00,L,cross,3,4138.03,4127.017,11.01299999999992,2025-10-17 11:30:00,4287.115,M30 merged cross,149.08500000000004
2025.10.15 12:30:00|S|S1,2025-10-15 12:30:00,2025-10-15 12:30:00,S,pre_cross,1,4181.367,4187.343,5.975999999999658,2025-10-15 12:30:00,4187.343,SL hit,-5.975999999999658
2025.10.15 12:30:00|S|S2,2025-10-15 12:30:00,2025-10-15 12:30:00,S,pre_cross,2,4181.367,4187.343,5.975999999999658,2025-10-15 12:30:00,4187.343,trail/SL hit,-5.975999999999658
2025.10.15 12:30:00|S|S3,2025-10-15 12:30:00,2025-10-15 12:30:00,S,pre_cross,3,4181.367,4187.343,5.975999999999658,2025-10-15 12:30:00,4187.343,SL hit,-5.975999999999658
2025.10.17 11:00:00|S|S1,2025-10-17 11:00:00,2025-10-17 11:00:00,S,pre_cross,1,4327.664,4337.777,10.113000000000284,2025-10-17 11:30:00,4307.437999999999,2.0R TP,20.226000000000568
2025.10.17 11:00:00|S|S2,2025-10-17 11:00:00,2025-10-17 11:00:00,S,pre_cross,2,4327.664,4337.777,10.113000000000284,2025-10-17 11:30:00,4287.211999999999,4.0R forced,40.452000000001135
2025.10.17 11:00:00|S|S3,2025-10-17 11:00:00,2025-10-17 11:00:00,S,pre_cross,3,4327.664,4337.777,10.113000000000284,2025-10-20 04:30:00,4266.338,M30 merged cross,61.32600000000002
2025.10.20 12:00:00|L|S1,2025-10-20 12:00:00,2025-10-20 12:00:00,L,post_n4,1,4279.241,4257.259,21.98199999999997,2025-10-20 12:30:00,4323.205,2.0R TP,43.96399999999994
2025.10.20 12:00:00|L|S2,2025-10-20 12:00:00,2025-10-20 12:00:00,L,post_n4,2,4279.241,4257.259,21.98199999999997,2025-10-20 19:00:00,4367.169,4.0R forced,87.92799999999988
2025.10.20 12:00:00|L|S3,2025-10-20 12:00:00,2025-10-20 12:00:00,L,post_n4,3,4279.241,4257.259,21.98199999999997,2025-10-21 05:30:00,4323.315,M30 merged cross,44.073999999999614
2025.10.20 12:30:00|L|S1,2025-10-20 12:30:00,2025-10-20 12:30:00,L,post_n5,1,4293.907,4260.076,33.83100000000013,2025-10-20 18:30:00,4361.569,2.0R TP,67.66200000000026
2025.10.20 12:30:00|L|S2,2025-10-20 12:30:00,2025-10-20 12:30:00,L,post_n5,2,4293.907,4260.076,33.83100000000013,2025-10-21 01:30:00,4342.67483340182,trail/SL hit,48.7678334018201
2025.10.20 12:30:00|L|S3,2025-10-20 12:30:00,2025-10-20 12:30:00,L,post_n5,3,4293.907,4260.076,33.83100000000013,2025-10-21 05:30:00,4323.315,M30 merged cross,29.407999999999447
2025.11.13 14:30:00|S|S1,2025-11-13 14:30:00,2025-11-13 14:30:00,S,pre_cross,1,4211.211,4219.59,8.378999999999905,2025-11-13 14:30:00,4219.59,SL hit,-8.378999999999905
2025.11.13 14:30:00|S|S2,2025-11-13 14:30:00,2025-11-13 14:30:00,S,pre_cross,2,4211.211,4219.59,8.378999999999905,2025-11-13 14:30:00,4219.59,trail/SL hit,-8.378999999999905
2025.11.13 14:30:00|S|S3,2025-11-13 14:30:00,2025-11-13 14:30:00,S,pre_cross,3,4211.211,4219.59,8.378999999999905,2025-11-13 14:30:00,4219.59,SL hit,-8.378999999999905
2025.12.24 03:00:00|S|S1,2025-12-24 03:00:00,2025-12-24 03:00:00,S,pre_cross,1,4477.573,4493.073,15.5,2025-12-24 03:00:00,4493.073,SL hit,-15.5
2025.12.24 03:00:00|S|S2,2025-12-24 03:00:00,2025-12-24 03:00:00,S,pre_cross,2,4477.573,4493.073,15.5,2025-12-24 03:00:00,4493.073,trail/SL hit,-15.5
2025.12.24 03:00:00|S|S3,2025-12-24 03:00:00,2025-12-24 03:00:00,S,pre_cross,3,4477.573,4493.073,15.5,2025-12-24 03:00:00,4493.073,SL hit,-15.5
2026.01.12 21:00:00|S|S1,2026-01-12 21:00:00,2026-01-12 21:00:00,S,pre_cross,1,4593.84,4600.11,6.269999999999527,2026-01-12 23:00:00,4600.11,SL hit,-6.269999999999527
2026.01.12 21:00:00|S|S2,2026-01-12 21:00:00,2026-01-12 21:00:00,S,pre_cross,2,4593.84,4600.11,6.269999999999527,2026-01-12 23:00:00,4600.11,trail/SL hit,-6.269999999999527
2026.01.12 21:00:00|S|S3,2026-01-12 21:00:00,2026-01-12 21:00:00,S,pre_cross,3,4593.84,4600.11,6.269999999999527,2026-01-12 23:00:00,4600.11,SL hit,-6.269999999999527
2026.01.13 16:00:00|L|S1,2026-01-13 16:00:00,2026-01-13 16:00:00,L,post_n6,1,4619.001,4599.211,19.789999999999964,2026-01-13 16:00:00,4599.211,SL hit,-19.789999999999964
2026.01.13 16:00:00|L|S2,2026-01-13 16:00:00,2026-01-13 16:00:00,L,post_n6,2,4619.001,4599.211,19.789999999999964,2026-01-13 16:00:00,4599.211,trail/SL hit,-19.789999999999964
2026.01.13 16:00:00|L|S3,2026-01-13 16:00:00,2026-01-13 16:00:00,L,post_n6,3,4619.001,4599.211,19.789999999999964,2026-01-13 16:00:00,4599.211,SL hit,-19.789999999999964
2026.01.21 15:30:00|S|S1,2026-01-21 15:30:00,2026-01-21 15:30:00,S,pre_cross,1,4831.136,4849.92,18.78399999999965,2026-01-21 15:30:00,4849.92,SL hit,-18.78399999999965
2026.01.21 15:30:00|S|S2,2026-01-21 15:30:00,2026-01-21 15:30:00,S,pre_cross,2,4831.136,4849.92,18.78399999999965,2026-01-21 15:30:00,4849.92,trail/SL hit,-18.78399999999965
2026.01.21 15:30:00|S|S3,2026-01-21 15:30:00,2026-01-21 15:30:00,S,pre_cross,3,4831.136,4849.92,18.78399999999965,2026-01-21 15:30:00,4849.92,SL hit,-18.78399999999965
2026.01.22 08:00:00|L|S1,2026-01-22 08:00:00,2026-01-22 08:00:00,L,post_n2,1,4832.659,4814.448,18.21099999999933,2026-01-22 09:30:00,4814.448,SL hit,-18.21099999999933
2026.01.22 08:00:00|L|S2,2026-01-22 08:00:00,2026-01-22 08:00:00,L,post_n2,2,4832.659,4814.448,18.21099999999933,2026-01-22 09:30:00,4814.448,trail/SL hit,-18.21099999999933
2026.01.22 08:00:00|L|S3,2026-01-22 08:00:00,2026-01-22 08:00:00,L,post_n2,3,4832.659,4814.448,18.21099999999933,2026-01-22 09:30:00,4814.448,SL hit,-18.21099999999933
