bar_time,close,m30_sma5,m30_sma13,m30_dist%,m30_cross,h2_dist%,h2_dir,signal
2026-06-05 03:30:00,4442.175,4449.947,4458.871,0.2005,NONE,0.133,NEUTRAL,NO_SIGNAL
2026-06-05 04:00:00,4439.711,4447.9,4457.397,0.2135,NONE,0.1871,NEUTRAL,NO_SIGNAL
2026-06-05 04:30:00,4444.969,4447.314,4456.441,0.2052,NONE,0.1871,NEUTRAL,NO_SIGNAL
2026-06-05 05:00:00,4444.851,4446.821,4455.549,0.1963,NONE,0.1871,NEUTRAL,NO_SIGNAL
2026-06-05 05:30:00,4440.061,4445.469,4454.358,0.2,NONE,0.1871,NEUTRAL,NO_SIGNAL
2026-06-05 06:00:00,4442.268,4444.829,4453.428,0.1935,NONE,0.1664,NEUTRAL,NO_SIGNAL
2026-06-05 06:30:00,4452.717,4446.406,4453.373,0.1567,NONE,0.1664,NEUTRAL,NO_SIGNAL
2026-06-05 07:00:00,4467.015,4450.528,4454.423,0.0875,NONE,0.1664,NEUTRAL,NO_SIGNAL
2026-06-05 07:30:00,4460.937,4452.61,4454.924,0.052,NONE,0.1664,NEUTRAL,NO_SIGNAL
2026-06-05 08:00:00,4467.113,4455.511,4455.861,0.0079,DEAD,0.1382,NEUTRAL,M30_DEAD_no_H2
2026-06-05 08:30:00,4462.652,4456.939,4456.384,-0.0125,NONE,0.1382,NEUTRAL,NO_SIGNAL
2026-06-05 09:00:00,4462.767,4458.104,4456.875,-0.0276,NONE,0.1382,NEUTRAL,NO_SIGNAL
2026-06-05 09:30:00,4464.699,4459.423,4457.477,-0.0437,NONE,0.1382,NEUTRAL,NO_SIGNAL
2026-06-05 10:00:00,4466.152,4460.769,4458.144,-0.0588,NONE,0.0998,NEUTRAL,NO_SIGNAL
2026-06-05 10:30:00,4466.818,4461.979,4458.811,-0.071,NONE,0.0998,NEUTRAL,NO_SIGNAL
2026-06-05 11:00:00,4465.852,4462.754,4459.353,-0.0762,NONE,0.0998,NEUTRAL,NO_SIGNAL
2026-06-05 11:30:00,4470.284,4464.26,4460.194,-0.0911,NONE,0.0998,NEUTRAL,NO_SIGNAL
2026-06-05 12:00:00,4464.828,4464.373,4460.55,-0.0856,GOLDEN,0.3598,NEUTRAL,M30_GOLDEN_no_H2
2026-06-05 12:30:00,4406.213,4452.741,4456.37,0.0815,NONE,0.3598,NEUTRAL,NO_SIGNAL
2026-06-05 13:00:00,4404.597,4443.112,4452.388,0.2088,NONE,0.3598,NEUTRAL,NO_SIGNAL
2026-06-05 13:30:00,4365.771,4427.644,4445.725,0.4084,NONE,0.3598,NEUTRAL,NO_SIGNAL
2026-06-05 14:00:00,4361.138,4414.343,4439.218,0.5635,NONE,0.6326,BULL,NO_SIGNAL
2026-06-05 14:30:00,4369.788,4405.432,4433.878,0.6457,NONE,0.6326,BULL,NO_SIGNAL
2026-06-05 15:00:00,4351.605,4394.667,4427.549,0.7482,NONE,0.6326,BULL,NO_SIGNAL
2026-06-05 15:30:00,4335.571,4382.847,4420.474,0.8585,NONE,0.6326,BULL,NO_SIGNAL
2026-06-05 16:00:00,4329.483,4372.175,4413.474,0.9446,NONE,0.8085,BULL,NO_SIGNAL
2026-06-05 16:30:00,4344.38,4366.616,4408.159,0.9514,NONE,0.8085,BULL,NO_SIGNAL
2026-06-05 17:00:00,4342.429,4361.778,4403.103,0.9474,NONE,0.8085,BULL,NO_SIGNAL
2026-06-05 17:30:00,4341.852,4357.793,4398.392,0.9316,NONE,0.8085,BULL,NO_SIGNAL
2026-06-05 18:00:00,4325.84,4351.402,4392.811,0.9516,NONE,0.9935,BULL,NO_SIGNAL
2026-06-05 18:30:00,4322.479,4345.618,4387.401,0.9615,NONE,0.9935,BULL,NO_SIGNAL
2026-06-05 19:00:00,4323.674,4341.229,4382.499,0.9506,NONE,0.9935,BULL,NO_SIGNAL
2026-06-05 19:30:00,4318.481,4336.679,4377.574,0.943,NONE,0.9935,BULL,NO_SIGNAL
2026-06-05 20:00:00,4322.464,4333.836,4373.335,0.9114,NONE,1.0865,BULL,NO_SIGNAL
2026-06-05 20:30:00,4328.774,4332.824,4369.907,0.8559,NONE,1.0865,BULL,NO_SIGNAL
2026-06-07 22:00:00,4316.878,4329.635,4365.828,0.8359,NONE,1.0958,BULL,NO_SIGNAL
2026-06-07 22:30:00,4317.429,4327.194,4362.105,0.8068,NONE,1.0958,BULL,NO_SIGNAL
2026-06-07 23:00:00,4333.92,4328.539,4359.937,0.7254,NONE,1.0958,BULL,NO_SIGNAL
2026-06-07 23:30:00,4343.828,4331.597,4358.698,0.6257,NONE,1.0958,BULL,NO_SIGNAL
2026-06-08 00:00:00,4351.539,4335.585,4358.147,0.5204,NONE,1.1381,BULL,NO_SIGNAL
2026-06-08 00:30:00,4342.052,4336.879,4356.909,0.4619,NONE,1.1381,BULL,NO_SIGNAL
2026-06-08 01:00:00,4314.708,4332.444,4353.663,0.4898,NONE,1.1381,BULL,NO_SIGNAL
2026-06-08 01:30:00,4325.642,4331.084,4351.507,0.4716,NONE,1.1381,BULL,NO_SIGNAL
2026-06-08 02:00:00,4314.761,4327.819,4348.681,0.482,NONE,1.1774,BULL,NO_SIGNAL
2026-06-08 02:30:00,4310.697,4324.395,4345.759,0.494,NONE,1.1774,BULL,NO_SIGNAL
2026-06-08 03:00:00,4307.262,4320.968,4342.798,0.5052,NONE,1.1774,BULL,NO_SIGNAL
2026-06-08 03:30:00,4316.842,4320.143,4340.801,0.4782,NONE,1.1774,BULL,NO_SIGNAL
2026-06-08 04:00:00,4319.839,4320.082,4339.189,0.4423,NONE,1.261,BULL,NO_SIGNAL
2026-06-08 04:30:00,4312.673,4318.6,4337.149,0.4295,NONE,1.261,BULL,NO_SIGNAL
2026-06-08 05:00:00,4311.619,4317.204,4335.185,0.4165,NONE,1.261,BULL,NO_SIGNAL
2026-06-08 05:30:00,4291.797,4312.123,4331.847,0.4574,NONE,1.261,BULL,NO_SIGNAL
2026-06-08 06:00:00,4305.97,4310.892,4329.857,0.4399,NONE,1.2957,BULL,NO_SIGNAL
2026-06-08 06:30:00,4299.854,4308.685,4327.549,0.4378,NONE,1.2957,BULL,NO_SIGNAL
2026-06-08 07:00:00,4306.26,4308.2,4325.911,0.4111,NONE,1.2957,BULL,NO_SIGNAL
2026-06-08 07:30:00,4294.552,4305.47,4323.499,0.4187,NONE,1.2957,BULL,NO_SIGNAL
2026-06-08 08:00:00,4288.009,4301.978,4320.769,0.4368,NONE,1.3021,BULL,NO_SIGNAL
2026-06-08 08:30:00,4288.86,4299.354,4318.315,0.441,NONE,1.3021,BULL,NO_SIGNAL
2026-06-08 09:00:00,4279.853,4295.454,4315.356,0.4633,NONE,1.3021,BULL,NO_SIGNAL
2026-06-08 09:30:00,4294.419,4295.247,4313.745,0.4307,NONE,1.3021,BULL,NO_SIGNAL
2026-06-08 10:00:00,4293.913,4294.98,4312.22,0.4014,NONE,1.1795,BULL,NO_SIGNAL
2026-06-08 10:30:00,4301.875,4296.359,4311.424,0.3506,NONE,1.1795,BULL,NO_SIGNAL
2026-06-08 11:00:00,4325.077,4302.103,4312.474,0.2411,NONE,1.1795,BULL,NO_SIGNAL
2026-06-08 11:30:00,4331.383,4307.959,4313.929,0.1386,NONE,1.1795,BULL,NO_SIGNAL
