2026-06-20 15:10:53,196 [INFO] ============================================================
2026-06-20 15:10:53,197 [INFO] AutoTrader starting...
2026-06-20 15:10:53,197 [INFO] Config: XAUUSDm, 30x16386
2026-06-20 15:10:53,197 [INFO] Risk: 3.0%, Stop: 3.0-35.0pt
2026-06-20 15:10:53,197 [INFO] Connected: account=277752085, balance=$500.00, equity=$500.00, leverage=1:2000
2026-06-20 15:10:53,197 [INFO] Symbol: XAUUSDm, digits=3, min_lot=0.01, max_lot=200.0, lot_step=0.01, contract_size=100.0
2026-06-20 15:10:53,210 [INFO] New bar: 2026-06-19 16:30:00
2026-06-20 15:15:08,479 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 15:20:08,711 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 15:25:09,001 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 15:30:09,281 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 15:35:09,582 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 15:40:09,815 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 15:45:10,081 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 15:50:10,337 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 15:55:10,618 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 16:00:10,893 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 16:05:11,169 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 16:10:11,430 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 16:15:11,682 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 16:20:11,938 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 16:25:12,230 [INFO] STATUS: equity=$500.00 | positions=0 | PnL=$0.00
2026-06-20 16:28:27,407 [WARNING] Cannot get rates, retrying...
