date,open,high,low,close,volume,SMA_5,SMA_13,SMA_55,SMA_144,SMA_233,direction,direction_merged,vol_ma_120,way,way_s,way_s_way,vol_way,vol_way_s_way,up_high_price,up_high_sma13,up_high_way_s_way,up_high_vol_way_s_way,down_low_price,down_low_sma13,down_low_way_s_way,down_low_vol_way_s_way,prev_seg_high_price,prev_seg_high_sma13,prev_seg_high_way_s_way,prev_seg_high_vol_way_s_way,prev_seg_low_price,prev_seg_low_sma13,prev_seg_low_way_s_way,prev_seg_low_vol_way_s_way,long_entry,long_stop,short_entry,short_stop
2018-01-15 06:00:00,1342.53200,1343.52900,1340.11300,1342.99000,5892,,,,,,,,5892.00000,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-15 08:00:00,1342.98400,1343.73500,1340.42400,1342.95300,8518,,,,,,,,7205.00000,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-15 10:00:00,1342.91400,1343.61900,1341.19400,1341.57200,7014,,,,,,,,7141.33333,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-15 12:00:00,1341.57400,1342.43900,1340.31100,1342.09000,7298,,,,,,,,7180.50000,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-15 14:00:00,1342.09200,1342.09200,1338.60100,1341.09400,7863,1342.13980,,,,,,,7317.00000,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-15 16:00:00,1341.08000,1341.64400,1339.92800,1339.93300,5499,1341.69844,,,,,,,7014.00000,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-15 18:00:00,1339.93900,1339.93900,1339.93900,1339.93900,1,1341.34655,,,,,,,6012.14286,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-15 22:00:00,1341.58600,1342.21900,1341.48700,1341.51100,1549,1341.37944,,,,,,,5454.25000,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-16 00:00:00,1341.52300,1341.59000,1338.07200,1340.58800,7335,1341.22115,,,,,,,5663.22222,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-16 02:00:00,1340.58400,1341.92900,1339.78800,1340.59700,6702,1341.09632,,,,,,,5767.10000,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
2018-01-16 04:00:00,1340.59500,1341.54400,1340.03600,1341.03600,5055,1341.08426,,,,,,,5702.36364,0,0,0.00,0,0.00,,,,,,,,,,,,,,,,,,,,
