bar_time,close,m30_sma5,m30_sma13,m30_diff,m30_dist%,m30_cross,h2_time,h2_sma5,h2_sma13,h2_diff,h2_dist%,h2_score,h2_dir,h2_cross,h2_tier,decision,lot_mul,skip_reason
2018-01-15 06:30:00,1340.94000,,,,,NONE,2018-01-15 06:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 07:00:00,1341.41600,,,,,NONE,2018-01-15 06:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 07:30:00,1342.99000,,,,,NONE,2018-01-15 06:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 08:00:00,1341.66000,,,,,NONE,2018-01-15 06:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 08:30:00,1340.81700,1341.56460,,,,NONE,2018-01-15 08:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 09:00:00,1341.54100,1341.55988,,,,NONE,2018-01-15 08:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 09:30:00,1342.95300,1341.83850,,,,NONE,2018-01-15 08:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 10:00:00,1343.35500,1342.14180,,,,NONE,2018-01-15 08:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 10:30:00,1343.05500,1342.32444,,,,NONE,2018-01-15 10:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 11:00:00,1342.12000,1342.28355,,,,NONE,2018-01-15 10:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 11:30:00,1341.57200,1342.14124,,,,NONE,2018-01-15 10:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 12:00:00,1341.38000,1341.98899,,,,NONE,2018-01-15 10:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 12:30:00,1341.97000,1341.98520,1341.98223,0.00296,0.00022,NONE,2018-01-15 12:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 13:00:00,1341.79500,1341.94716,1341.96783,-0.02067,-0.00154,DEAD,2018-01-15 12:30:00,,,,,,NA,NONE,NA,SKIP,0.00,h2_warmup
2018-01-15 13:30:00,1342.09000,1341.97573,1341.97723,-0.00150,-0.00011,NONE,2018-01-15 12:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 14:00:00,1341.49500,1341.87958,1341.94013,-0.06055,-0.00451,NONE,2018-01-15 12:30:00,,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 14:30:00,1340.79700,1341.66306,1341.85220,-0.18913,-0.01410,NONE,2018-01-15 14:30:00,1341.78200,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 15:00:00,1340.76000,1341.48245,1341.76818,-0.28573,-0.02130,NONE,2018-01-15 14:30:00,1341.78200,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 15:30:00,1341.09400,1341.40476,1341.71632,-0.31156,-0.02322,NONE,2018-01-15 14:30:00,1341.78200,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 16:00:00,1341.02000,1341.32781,1341.66276,-0.33495,-0.02497,NONE,2018-01-15 14:30:00,1341.78200,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 16:30:00,1340.66300,1341.19485,1341.58586,-0.39101,-0.02915,NONE,2018-01-15 16:30:00,1341.41340,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 17:00:00,1340.50200,1341.05628,1341.50248,-0.44620,-0.03326,NONE,2018-01-15 16:30:00,1341.41340,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 17:30:00,1339.93300,1340.83162,1341.38175,-0.55013,-0.04101,NONE,2018-01-15 16:30:00,1341.41340,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 18:00:00,1339.93900,1340.65310,1341.27077,-0.61767,-0.04605,NONE,2018-01-15 16:30:00,1341.41340,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-15 23:30:00,1341.51100,1340.82468,1341.28925,-0.46457,-0.03464,NONE,2018-01-15 23:30:00,1340.93672,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 00:00:00,1341.21000,1340.90174,1341.28315,-0.38141,-0.02844,NONE,2018-01-15 23:30:00,1340.93672,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 00:30:00,1340.33300,1340.78799,1341.21007,-0.42207,-0.03147,NONE,2018-01-15 23:30:00,1340.93672,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 01:00:00,1339.03000,1340.43640,1341.04237,-0.60597,-0.04519,NONE,2018-01-15 23:30:00,1340.93672,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 01:30:00,1340.58800,1340.46672,1341.00742,-0.54070,-0.04032,NONE,2018-01-16 01:30:00,1340.98118,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 02:00:00,1340.89400,1340.55217,1340.99869,-0.44652,-0.03330,NONE,2018-01-16 01:30:00,1340.98118,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 02:30:00,1340.90600,1340.62294,1340.99156,-0.36862,-0.02749,NONE,2018-01-16 01:30:00,1340.98118,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 03:00:00,1341.15900,1340.73015,1341.00444,-0.27429,-0.02045,NONE,2018-01-16 01:30:00,1340.98118,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 03:30:00,1340.59700,1340.70352,1340.97310,-0.26958,-0.02010,NONE,2018-01-16 03:30:00,1341.03154,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 04:00:00,1341.09000,1340.78082,1340.98209,-0.20128,-0.01501,NONE,2018-01-16 03:30:00,1341.03154,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 04:30:00,1341.05400,1340.83545,1340.98762,-0.15217,-0.01135,NONE,2018-01-16 03:30:00,1341.03154,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 05:00:00,1341.23300,1340.91496,1341.00650,-0.09154,-0.00683,NONE,2018-01-16 03:30:00,1341.03154,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 05:30:00,1341.03600,1340.93917,1341.00877,-0.06960,-0.00519,NONE,2018-01-16 05:30:00,1340.61443,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 06:00:00,1340.53400,1340.85814,1340.97225,-0.11411,-0.00851,NONE,2018-01-16 05:30:00,1340.61443,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 06:30:00,1340.16000,1340.71851,1340.90977,-0.19126,-0.01426,NONE,2018-01-16 05:30:00,1340.61443,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 07:00:00,1338.94600,1340.36401,1340.75871,-0.39470,-0.02944,NONE,2018-01-16 05:30:00,1340.61443,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 07:30:00,1339.28200,1340.14761,1340.64512,-0.49751,-0.03711,NONE,2018-01-16 07:30:00,1339.35355,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 08:00:00,1339.28400,1339.97488,1340.54041,-0.56553,-0.04219,NONE,2018-01-16 07:30:00,1339.35355,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 08:30:00,1337.41700,1339.46331,1340.30015,-0.83684,-0.06244,NONE,2018-01-16 07:30:00,1339.35355,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 09:00:00,1334.31000,1338.43265,1339.83937,-1.40672,-0.10499,NONE,2018-01-16 07:30:00,1339.35355,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 09:30:00,1334.42200,1337.63052,1339.42265,-1.79213,-0.13380,NONE,2018-01-16 09:30:00,1338.21944,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
2018-01-16 10:00:00,1334.05900,1336.91621,1339.01006,-2.09385,-0.15637,NONE,2018-01-16 09:30:00,1338.21944,,,,,NA,NONE,NA,SKIP,0.00,no_m30_cross
